service_id,date,exception_type
"MF10-32-922-aus","20241101","2"
"MF10-32-922-aus","20241108","2"
"MF10-32-922-aus","20241115","2"
"MF10-32-922-aus","20241122","2"
"MF10-32-922-aus","20241129","2"
"MF10-32-922-aus","20241206","2"
"MF10-32-922-aus","20241213","2"
"MF10-32-922-aus","20241220","2"
"MF10-32-922-aus","20241227","2"
"MF10-32-923-aus","20241011","2"
"MF10-32-923-aus","20241018","2"
"MF10-32-923-aus","20241025","2"
"MF10-32-923-aus","20241101","2"
"MF10-32-923-aus","20241108","2"
"MF10-32-923-aus","20241115","2"
"MF10-32-923-aus","20241122","2"
"MF10-32-923-aus","20241129","2"
"MF10-32-923-aus","20241206","2"
"MF10-32-923-aus","20241213","2"
"MF10-32-923-aus","20241220","2"
"MF10-32-923-aus","20241227","2"
"MF10-49-612-aus","20241007","2"
"MF10-49-612-aus","20241008","2"
"MF10-49-612-aus","20241009","2"
"MF10-49-612-aus","20241010","2"
"MF10-49-612-aus","20241014","2"
"MF10-49-612-aus","20241015","2"
"MF10-49-612-aus","20241016","2"
"MF10-49-612-aus","20241017","2"
"MF10-49-612-aus","20241105","2"
"MF10-49-612-aus","20241223","2"
"MF10-49-612-aus","20241224","2"
"MF10-49-612-aus","20241225","2"
"MF10-49-612-aus","20241226","2"
"MF10-49-612-aus","20241230","2"
"MF10-49-612-aus","20241231","2"
"MF10-49-623-aus","20241004","2"
"MF10-49-623-aus","20241011","2"
"MF10-49-623-aus","20241018","2"
"MF10-49-623-aus","20241227","2"
"MF10-49-624-aus","20241004","2"
"MF10-49-624-aus","20241011","2"
"MF10-49-624-aus","20241018","2"
"MF10-49-624-aus","20241227","2"
"MF10-49-625-aus","20241011","2"
"MF10-49-625-aus","20241018","2"
"MF10-49-625-aus","20241025","2"
"MF10-49-625-aus","20241101","2"
"MF10-49-625-aus","20241108","2"
"MF10-49-625-aus","20241115","2"
"MF10-49-625-aus","20241122","2"
"MF10-49-625-aus","20241129","2"
"MF10-49-625-aus","20241206","2"
"MF10-49-625-aus","20241213","2"
"MF10-49-625-aus","20241220","2"
"MF10-49-625-aus","20241227","2"
"MF10-49-626-aus","20241004","2"
"MF10-49-626-aus","20241011","2"
"MF10-49-626-aus","20241018","2"
"MF10-49-626-aus","20241227","2"
"MF10-53-410-aus","20241004","2"
"MF10-53-410-aus","20241025","2"
"MF10-53-410-aus","20241101","2"
"MF10-53-410-aus","20241108","2"
"MF10-53-410-aus","20241115","2"
"MF10-53-410-aus","20241122","2"
"MF10-53-410-aus","20241129","2"
"MF10-53-410-aus","20241206","2"
"MF10-53-410-aus","20241213","2"
"MF10-53-410-aus","20241220","2"
"MF10-53-410-aus","20241227","2"
"MF10-53-941-aus","20241004","2"
"MF10-53-941-aus","20241025","2"
"MF10-53-941-aus","20241101","2"
"MF10-53-941-aus","20241108","2"
"MF10-53-941-aus","20241115","2"
"MF10-53-941-aus","20241122","2"
"MF10-53-941-aus","20241129","2"
"MF10-53-941-aus","20241206","2"
"MF10-53-941-aus","20241213","2"
"MF10-53-941-aus","20241220","2"
"MF10-53-941-aus","20241227","2"
"MF10-53-943-aus","20241004","2"
"MF10-53-943-aus","20241025","2"
"MF10-53-943-aus","20241101","2"
"MF10-53-943-aus","20241108","2"
"MF10-53-943-aus","20241115","2"
"MF10-53-943-aus","20241122","2"
"MF10-53-943-aus","20241129","2"
"MF10-53-943-aus","20241206","2"
"MF10-53-943-aus","20241213","2"
