region,entertainments_count,hospital_count,park_count,psf_count,school2_count,school1_count,shop_count,stop_count
Lakes Entrance,11.0,,12.0,2.0,2.0,7.0,4.0,69.0
Yarra Valley,11.0,,16.0,12.0,2.0,12.0,3.0,79.0
Ferntree Gully - North,11.0,,23.0,2.0,6.0,8.0,4.0,62.0
Upwey - Tecoma,11.0,,5.0,,2.0,4.0,1.0,54.0
Ascot Vale,11.0,1.0,12.0,,4.0,4.0,2.0,60.0
Nunawading,11.0,,20.0,3.0,4.0,3.0,3.0,72.0
Flinders,11.0,,6.0,2.0,1.0,2.0,1.0,12.0
Wangaratta,11.0,2.0,34.0,2.0,9.0,12.0,5.0,117.0
Mitcham (Vic.),11.0,1.0,34.0,,2.0,5.0,3.0,93.0
Boronia,11.0,1.0,44.0,2.0,3.0,5.0,5.0,116.0
Swan Hill,11.0,1.0,24.0,2.0,2.0,7.0,4.0,48.0
Dromana,11.0,,18.0,2.0,,3.0,3.0,36.0
Malvern - Glen Iris,11.0,1.0,22.0,1.0,,7.0,3.0,91.0
Cranbourne West,11.0,,31.0,,2.0,4.0,7.0,45.0
Burwood East,11.0,,30.0,,,5.0,7.0,64.0
Coburg North,10.0,,27.0,,1.0,1.0,5.0,58.0
Pascoe Vale,10.0,2.0,14.0,1.0,1.0,5.0,3.0,71.0
St Kilda - Central,10.0,,9.0,,,3.0,1.0,51.0
Mooroolbark,10.0,1.0,48.0,2.0,8.0,10.0,5.0,45.0
Burwood (Vic.),10.0,,18.0,2.0,4.0,4.0,,78.0
Wattle Glen - Diamond Creek,10.0,,49.0,3.0,4.0,5.0,2.0,47.0
West Melbourne - Residential,10.0,,9.0,1.0,,1.0,3.0,20.0
Myrtleford,10.0,1.0,17.0,7.0,1.0,3.0,2.0,4.0
Clayton (North) - Notting Hill,10.0,1.0,38.0,,4.0,2.0,3.0,74.0
Preston - West,10.0,,15.0,1.0,3.0,4.0,2.0,51.0
Croydon - West,10.0,,32.0,,3.0,5.0,6.0,64.0
Watsonia,10.0,,18.0,,3.0,3.0,10.0,53.0
Mordialloc - Parkdale,10.0,1.0,23.0,1.0,2.0,6.0,4.0,79.0
Chelsea - Bonbeach,10.0,,18.0,1.0,,3.0,3.0,49.0
Bentleigh East - North,10.0,1.0,9.0,,1.0,2.0,1.0,71.0
Mount Eliza,10.0,,25.0,1.0,1.0,7.0,4.0,31.0
Kew - South,10.0,1.0,13.0,2.0,1.0,9.0,,67.0
Seaford (Vic.),10.0,,30.0,,5.0,8.0,4.0,88.0
Bentleigh - McKinnon,10.0,,16.0,,2.0,4.0,4.0,74.0
Forest Hill,9.0,2.0,17.0,,,1.0,5.0,52.0
Wallan,9.0,,26.0,4.0,1.0,6.0,5.0,47.0
Grovedale - Mount Duneed,9.0,,25.0,2.0,5.0,7.0,10.0,117.0
Sunbury - South,9.0,,30.0,2.0,,4.0,10.0,104.0
Wantirna,9.0,2.0,68.0,,6.0,5.0,1.0,47.0
Bacchus Marsh,9.0,1.0,61.0,4.0,2.0,7.0,9.0,81.0
Reservoir - South East,9.0,,9.0,,1.0,4.0,6.0,99.0
Bayswater,9.0,1.0,19.0,1.0,1.0,5.0,7.0,64.0
Hampton Park - West,9.0,,29.0,1.0,1.0,3.0,6.0,55.0
Altona,9.0,,22.0,2.0,2.0,5.0,3.0,72.0
Essendon - East,9.0,,16.0,,5.0,4.0,2.0,80.0
Glen Iris - East,9.0,2.0,26.0,,2.0,3.0,4.0,49.0
Mount Baw Baw Region,8.0,1.0,10.0,6.0,2.0,7.0,1.0,13.0
Edithvale - Aspendale,8.0,,12.0,1.0,4.0,5.0,2.0,49.0
Corangamite - South,8.0,2.0,19.0,6.0,,5.0,4.0,15.0
Newport,8.0,,32.0,1.0,4.0,5.0,2.0,91.0
Pakenham - South West,8.0,,49.0,2.0,6.0,7.0,12.0,76.0
Wangaratta Surrounds,8.0,,8.0,25.0,1.0,12.0,,22.0
North Geelong - Bell Park,8.0,1.0,32.0,1.0,3.0,7.0,4.0,93.0
Templestowe,8.0,,50.0,1.0,,3.0,2.0,108.0
Mulgrave,8.0,3.0,63.0,,7.0,5.0,5.0,110.0
Hastings - Somers,8.0,1.0,48.0,5.0,1.0,10.0,5.0,79.0
Blackburn,8.0,,39.0,,9.0,8.0,6.0,123.0
Clifton Hill - Alphington,8.0,1.0,18.0,,6.0,5.0,2.0,33.0
Elsternwick,8.0,2.0,5.0,,1.0,4.0,2.0,67.0
Montmorency - Briar Hill,8.0,,39.0,,5.0,7.0,4.0,57.0
Moyne - West,8.0,1.0,23.0,10.0,,6.0,2.0,47.0
Euroa,7.0,1.0,8.0,7.0,2.0,5.0,1.0,8.0
Maryborough (Vic.),7.0,1.0,11.0,2.0,,3.0,4.0,84.0
St Albans - South,7.0,1.0,23.0,,4.0,6.0,4.0,54.0
Ringwood North,7.0,,26.0,,5.0,3.0,2.0,56.0
Reservoir - South West,7.0,1.0,15.0,,4.0,3.0,2.0,106.0
Kew - West,7.0,3.0,23.0,,2.0,2.0,4.0,51.0
Taylors Hill,7.0,,32.0,,2.0,5.0,4.0,43.0
Orbost,7.0,3.0,16.0,15.0,4.0,9.0,5.0,21.0
