Region,population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless
Sunshine,-127.22857142857146,-26.882857142857162,-175.70000000000002,-351.99999999999994,72.00000000000001,-2.1142857142857143,52.171428571428564,5.685714285714286,55.742857142857154,857.0,417.1000000000001,1.25,76.60000000000001,0.1999999999999996,38.099999999999994,-2.8000000000000003
SunshineNorth,-86.42857142857144,-10.771428571428565,-110.7,-395.9999999999998,105.80000000000001,7.02857142857143,32.91428571428572,0.22857142857142856,40.17142857142858,1099.9,386.00000000000006,1.15,121.09999999999997,-3.6999999999999993,39.5,-0.9
SunshineWest,-351.20000000000005,-27.074285714285743,-264.90000000000003,-408.9999999999999,87.9,4.485714285714287,29.628571428571433,0.14285714285714288,34.25714285714286,1096.1999999999998,481.59999999999997,1.0599999999999998,135.1,4.299999999999999,53.6,7.3999999999999995
Sydenham,-231.71428571428572,-58.70285714285712,-239.2,-202.9999999999999,31.4,2.8285714285714283,17.142857142857142,1.9142857142857146,21.885714285714293,1177.1000000000001,131.10000000000002,0.7799999999999997,13.0,5.099999999999999,21.599999999999998,-1.5
TaylorsLakes,-296.9428571428571,-16.088571428571438,-417.90000000000003,-215.99999999999994,18.799999999999997,12.22857142857143,3.0285714285714285,0.0,15.257142857142858,1499.3,-150.1,0.6799999999999996,-58.19999999999999,-2.1,9.1,4.6
DeerPark,-284.17142857142863,-35.18571428571432,-285.40000000000003,-468.9999999999999,86.30000000000001,8.22857142857143,21.628571428571433,0.3714285714285714,30.228571428571435,,326.3999999999999,0.9099999999999993,54.89999999999999,-0.5999999999999999,22.7,8.799999999999999
Derrimut,-67.45714285714286,-5.079999999999995,-66.39999999999999,-316.9999999999999,88.60000000000001,6.257142857142857,1.4571428571428573,,7.714285714285714,,149.70000000000002,0.5699999999999988,105.5,5.5,16.5,3.499999999999999
Altona,16.800000000000004,0.9542857142857237,-59.2,-472.99999999999994,48.000000000000014,-18.62857142857143,85.02857142857142,12.142857142857144,78.54285714285714,2301.3,116.4,1.3300000000000003,116.39999999999998,-1.5,33.59999999999999,0.09999999999999999
AltonaMeadows,-375.3714285714286,-35.60571428571429,-463.2,-412.99999999999994,29.000000000000007,5.628571428571429,12.885714285714288,0.0,18.514285714285716,1508.9999999999998,57.20000000000002,0.7800000000000005,-41.499999999999986,-6.7,24.300000000000004,1.8999999999999997
AltonaNorth,-8.257142857142862,-0.5057142857142806,-21.099999999999994,-339.9999999999999,110.5,-30.885714285714286,127.2,0.0,96.31428571428572,2377.6000000000004,402.10000000000014,1.8599999999999999,184.39999999999995,4.8999999999999995,48.800000000000004,2.0999999999999996
