SA2,Dec 1999 median,Dec 2000 median,Dec 2001 median,Dec 2002 median,Dec 2003 median,Dec 2004 median,Dec 2005 median,Dec 2006 median,Dec 2007 median,Dec 2008 median,Dec 2009 median,Dec 2010 median,Dec 2011 median,Dec 2012 median,Dec 2013 median,Dec 2014 median,Dec 2015 median,Dec 2016 median,Dec 2017 median,Dec 2018 median,Dec 2019 median,Dec 2020 median,Dec 2021 median,Dec 2022 median,Dec 2023 median,Dec 2024 median,Dec 2025 median,Dec 2026 median
Hawthorn - North,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Hawthorn - South,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Kew - South,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Kew - West,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Bulleen,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Doncaster,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Keilor,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Ardeer - Albion,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Cairnlea,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Delahey,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Keilor Downs,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Kings Park (Vic.),155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
St Albans - North,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
St Albans - South,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Sunshine,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Sunshine North,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Sunshine West,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Sydenham,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Taylors Lakes,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Deer Park,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Derrimut,155.0,165.0,170.0,175.0,180.0,180.0,190.0,200.0,220.0,270.0,280.0,300.0,300.0,300.0,310.0,320.0,320.0,340.0,350.0,360.0,360.0,360.0,360.0,380.0,449.0,-1,-1,-1
Echuca,130.0,135.0,140.0,150.0,175.0,170.0,170.0,180.0,190.0,194.0,200.0,200.0,225.0,225.0,245.0,250.0,260.0,270.0,270.0,270.0,280.0,300.0,340.0,370.0,410.0,-1,-1,-1
Kyabram,130.0,135.0,140.0,150.0,175.0,170.0,170.0,180.0,190.0,194.0,200.0,200.0,225.0,225.0,245.0,250.0,260.0,270.0,270.0,270.0,280.0,300.0,340.0,370.0,410.0,-1,-1,-1
Lockington - Gunbower,130.0,135.0,140.0,150.0,175.0,170.0,170.0,180.0,190.0,194.0,200.0,200.0,225.0,225.0,245.0,250.0,260.0,270.0,270.0,270.0,280.0,300.0,340.0,370.0,410.0,-1,-1,-1
Rochester,130.0,135.0,140.0,150.0,175.0,170.0,170.0,180.0,190.0,194.0,200.0,200.0,225.0,225.0,245.0,250.0,260.0,270.0,270.0,270.0,280.0,300.0,340.0,370.0,410.0,-1,-1,-1
Rushworth,130.0,135.0,140.0,150.0,175.0,170.0,170.0,180.0,190.0,194.0,200.0,200.0,225.0,225.0,245.0,250.0,260.0,270.0,270.0,270.0,280.0,300.0,340.0,370.0,410.0,-1,-1,-1
Belgrave - Selby,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Emerald - Cockatoo,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Beaconsfield - Officer,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Bunyip - Garfield,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Koo Wee Rup,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Pakenham - North East,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Pakenham - North West,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Pakenham - South East,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Pakenham - South West,155.0,165.0,165.0,180.0,185.0,190.0,195.0,210.0,235.0,280.0,280.0,300.0,310.0,310.0,320.0,320.0,340.0,350.0,360.0,365.0,360.0,370.0,400.0,440.0,515.0,-1,-1,-1
Berwick - North,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Doveton,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Hallam,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
Narre Warren North,165.0,174.0,180.0,185.0,195.0,200.0,210.0,230.0,250.0,280.0,300.0,320.0,325.0,320.0,340.0,350.0,350.0,360.0,375.0,380.0,380.0,390.0,420.0,450.0,525.0,-1,-1,-1
