population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless,year,region,median
16213.799999999988,2207.0466666666653,10006.000000000058,788.0,2280.5,3691.8190476190503,2313.6380952380932,1453.8380952381121,7472.380952381005,73634.19999999972,14110.800000000047,73.75333333333333,8356.86666666664,435.53333333333285,1574.7333333333336,8.666666666666515,2024,Williamstown,-1.0
16134.457142857136,2196.240952380951,9844.400000000023,409.0,2320.5999999999913,3716.704761904766,2342.409523809525,1544.2095238095208,7617.095238095266,75207.09999999963,14284.200000000012,74.59333333333348,8437.266666666634,441.9333333333325,1581.5333333333347,6.666666666666515,2025,Williamstown,-1.0
16055.114285714284,2185.435238095237,9682.800000000047,30.0,2360.699999999997,3741.590476190482,2371.1809523809497,1634.5809523809585,7761.809523809585,76780.0,14457.600000000035,75.4333333333334,8517.666666666657,448.33333333333394,1588.333333333334,4.666666666666515,2026,Williamstown,-1.0
19086.20952380952,2550.3019047619036,15920.899999999965,18712.0,121.19999999995343,3756.0285714285715,93.26666666666279,770.2095238095235,4074.104761904746,21640.200000000186,2753.7000000001863,39.816666666666606,2986.5,771.5,1341.5,88.0,2001,Braybrook,175.0
19120.43809523809,2554.867619047618,15838.99999999997,17933.0,121.19999999995343,3755.0,93.26666666666279,771.6666666666665,4266.333333333314,22986.399999999907,3511.4000000001397,41.20666666666648,3301.20000000007,776.6000000000004,1433.3999999999942,92.39999999999964,2002,Braybrook,180.0
19154.66666666667,2559.4333333333325,15757.099999999977,17154.0,121.19999999995343,3753.9714285714285,93.26666666666279,773.1238095238095,4458.561904761882,24332.600000000093,4269.100000000093,42.59666666666635,3615.9000000000233,781.7000000000007,1525.2999999999884,96.79999999999927,2003,Braybrook,185.0
19188.89523809524,2563.999047619047,15675.199999999983,16375.0,121.19999999995343,3752.942857142857,93.26666666666279,774.5809523809521,4650.79047619045,25678.80000000028,5026.800000000047,43.98666666666668,3930.5999999999767,786.8000000000011,1617.1999999999825,101.19999999999891,2004,Braybrook,190.0
19223.123809523808,2568.5647619047613,15593.299999999988,15596.0,121.19999999995343,3751.9142857142856,285.06666666665114,776.0380952380951,4843.019047619076,27025.0,5784.5,45.37666666666655,4245.300000000047,791.9000000000015,1709.0999999999767,105.59999999999854,2005,Braybrook,200.0
19257.352380952376,2573.1304761904757,15511.399999999965,14817.0,121.19999999995343,3750.885714285714,476.8666666666977,777.4952380952382,5035.247619047645,28371.200000000186,6542.200000000186,46.766666666666424,4560.0,797.0,1801.0,110.0,2006,Braybrook,220.0
19291.58095238096,2577.69619047619,15429.49999999997,14038.0,121.19999999995343,3749.8571428571427,668.6666666666861,778.9523809523807,5227.476190476213,29717.399999999907,7299.90000000014,48.1566666666663,4874.70000000007,802.1000000000004,1892.8999999999942,114.39999999999964,2007,Braybrook,255.0
19325.809523809527,2582.2619047619046,15347.599999999977,13259.0,121.19999999995343,3748.8285714285716,860.4666666666744,780.4095238095238,5419.704761904781,31063.600000000093,8057.600000000093,49.546666666666624,5189.400000000023,807.2000000000007,1984.7999999999884,118.79999999999927,2008,Braybrook,300.0
19360.038095238095,2586.827619047619,15265.699999999983,12480.0,121.19999999995343,3747.8,1052.2666666666628,781.8666666666663,5611.933333333349,32409.80000000028,8815.300000000047,50.9366666666665,5504.099999999977,812.3000000000011,2076.6999999999825,123.19999999999891,2009,Braybrook,300.0
19394.266666666663,2591.3933333333334,15183.799999999988,11701.0,121.19999999995343,3746.7714285714287,1244.0666666666511,783.3238095238094,5804.161904761917,33756.0,9573.0,52.32666666666637,5818.800000000047,817.4000000000015,2168.5999999999767,127.59999999999854,2010,Braybrook,318.0
19428.495238095245,2595.959047619048,15101.899999999965,10922.0,274.5999999999767,3745.7428571428572,1435.8666666666977,784.7809523809524,5996.390476190485,35102.200000000186,10330.700000000186,53.7166666666667,6133.5,822.5,2260.5,132.0,2011,Braybrook,322.0
19462.723809523814,2600.5247619047623,15019.99999999997,10143.0,427.9999999999418,3744.714285714286,1627.666666666686,786.238095238095,6188.619047619053,36448.39999999991,11088.40000000014,55.10666666666657,6448.20000000007,827.6000000000004,2352.399999999994,136.39999999999964,2012,Braybrook,330.0
19496.95238095238,2605.0904761904767,14938.099999999977,9364.0,581.3999999999651,3743.6857142857143,1819.4666666666744,787.695238095238,6380.847619047621,37794.60000000009,11846.100000000093,56.49666666666644,6762.900000000023,832.7000000000007,2444.2999999999884,140.79999999999927,2013,Braybrook,350.0
