region,year,median
Leongatha,2000,130.0
Moe - Newborough,2000,130.0
Yallourn North - Glengarry,2000,130.0
Ashburton (Vic.),2000,230.0
Balwyn,2000,230.0
Balwyn North,2000,230.0
Camberwell,2000,230.0
Glen Iris - East,2000,230.0
Hawthorn East,2000,230.0
Kew East,2000,230.0
Surrey Hills (West) - Canterbury,2000,230.0
Hawthorn - North,2000,230.0
Hawthorn - South,2000,230.0
Kew - South,2000,230.0
Kew - West,2000,230.0
Bulleen,2000,230.0
Doncaster,2000,230.0
Keilor,2000,165.0
Ardeer - Albion,2000,165.0
Cairnlea,2000,165.0
Delahey,2000,165.0
Keilor Downs,2000,165.0
Kings Park (Vic.),2000,165.0
St Albans - North,2000,165.0
St Albans - South,2000,165.0
Sunshine,2000,165.0
Sunshine North,2000,165.0
Sunshine West,2000,165.0
Sydenham,2000,165.0
Taylors Lakes,2000,165.0
Deer Park,2000,165.0
Derrimut,2000,165.0
Echuca,2000,135.0
Kyabram,2000,135.0
Lockington - Gunbower,2000,135.0
Rochester,2000,135.0
Rushworth,2000,135.0
Belgrave - Selby,2000,165.0
Emerald - Cockatoo,2000,165.0
Beaconsfield - Officer,2000,165.0
Bunyip - Garfield,2000,165.0
Koo Wee Rup,2000,165.0
Pakenham - North East,2000,165.0
Pakenham - North West,2000,165.0
Pakenham - South East,2000,165.0
Pakenham - South West,2000,165.0
Berwick - North,2000,174.0
Doveton,2000,174.0
Hallam,2000,174.0
Narre Warren North,2000,174.0
Endeavour Hills - North,2000,174.0
Endeavour Hills - South,2000,174.0
Narre Warren - North East,2000,174.0
Narre Warren - South West,2000,174.0
Berwick - South East,2000,174.0
Berwick - South West,2000,174.0
Cranbourne,2000,174.0
Cranbourne South,2000,174.0
Cranbourne West,2000,174.0
Lynbrook - Lyndhurst,2000,174.0
Pearcedale - Tooradin,2000,174.0
Narre Warren South - East,2000,174.0
Narre Warren South - West,2000,174.0
Clyde North - North,2000,174.0
