region,median_2023,median_predictions_2026,Growth_Rate (%)
RingwoodEast,520.0,524.68838552729,0.901612601401933
RingwoodNorth,520.0,474.1558215864578,-8.81618815645042
Croydon-East,520.0,495.84030810308843,-4.646094595559917
Croydon-West,520.0,512.0249521678288,-1.5336630446483048
CroydonSouth,520.0,476.1498169619895,-8.432727507309718
ForestHill,550.0,518.7509751439318,-5.681640882921494
Mitcham(Vic.),550.0,536.9670693855144,-2.369623748088295
Nunawading,600.0,557.752732576929,-7.041211237178496
Vermont,520.0,480.5246732080351,-7.5914089984547894
VermontSouth,550.0,487.5620084088971,-11.352362107473255
Belgrave-Selby,515.0,464.4030337148323,-9.824653647605377
ChirnsidePark,523.0,511.7711202681386,-2.1470133330518952
Healesville-YarraGlen,523.0,493.5523050221035,-5.630534412599713
Kilsyth,523.0,488.87959305532354,-6.523978383303339
Lilydale-Coldstream,523.0,513.4450486477364,-1.8269505453658945
Monbulk-Silvan,523.0,437.3511342125232,-16.376456173513727
Montrose,523.0,485.7989766845103,-7.113006370074511
Mooroolbark,523.0,531.9980779068449,1.7204737871596283
MountDandenong-Olinda,523.0,464.13645010356856,-11.254980859738325
MountEvelyn,523.0,492.9249254023972,-5.750492274876251
Upwey-Tecoma,523.0,504.5298467486383,-3.5315780595337847
Wandin-Seville,523.0,497.82778618082966,-4.813042795252455
YarraValley,523.0,487.3362639902101,-6.819069982751412
Emerald-Cockatoo,515.0,504.7356544163939,-1.9930768123506963
Beaconsfield-Officer,515.0,499.4918329193699,-3.0112945787631213
Bunyip-Garfield,515.0,373.6572024763666,-27.445203402647262
KooWeeRup,515.0,389.1415188089427,-24.438540037098505
Pakenham-NorthEast,515.0,449.5660568368578,-12.705620031678096
Pakenham-NorthWest,515.0,404.83955219922393,-21.390378213742924
Pakenham-SouthEast,515.0,370.1754009001438,-28.12128137861285
Pakenham-SouthWest,515.0,490.9356946896693,-4.672680642782664
Berwick-North,525.0,522.4273721489301,-0.49002435258474486
Doveton,525.0,482.88010991966974,-8.022836205777194
Hallam,525.0,455.6151585686574,-13.216160272636682
NarreWarrenNorth,525.0,473.596174601871,-9.79120483773886
EndeavourHills-North,525.0,457.291184082335,-12.896917317650475
EndeavourHills-South,525.0,481.425935179937,-8.299821870488184
NarreWarren-NorthEast,525.0,487.03016458825414,-7.232349602237307
NarreWarren-SouthWest,525.0,497.8498959687936,-5.17144838689646
Berwick-SouthEast,525.0,447.8519529103552,-14.6948661123133
Berwick-SouthWest,525.0,411.9826404881427,-21.52711609749663
Cranbourne,525.0,517.019186850943,-1.5201548855346638
CranbourneSouth,525.0,546.4216405812772,4.080312491671846
CranbourneWest,525.0,580.8048388021339,10.629493105168358
Lynbrook-Lyndhurst,525.0,489.2042717615226,-6.818233950186173
Pearcedale-Tooradin,525.0,473.248549758761,-9.857419093569336
NarreWarrenSouth-East,525.0,468.0364909030137,-10.85019220894977
NarreWarrenSouth-West,525.0,472.979285825279,-9.908707461851614
ClydeNorth-North,525.0,360.8108771561501,-31.274118636923788
ClydeNorth-South,525.0,481.9138760635657,-8.206880749797014
CranbourneEast-North,525.0,589.1810338971993,12.224958837561774
CranbourneEast-South,525.0,589.3109867308145,12.249711758250388
CranbourneNorth-East,525.0,383.4384855093987,-26.964097998209773
CranbourneNorth-West,525.0,480.4419501647452,-8.487247587667579
HamptonPark-East,525.0,441.40590104181024,-15.92268551584567
HamptonPark-West,525.0,440.2977034840633,-16.133770764940326
DandenongNorth,470.0,506.5085703497906,7.767780925487362
NobleParkNorth,470.0,402.33141062156415,-14.397572208177841
Springvale,470.0,516.4449807903071,9.881910806448321
SpringvaleSouth,470.0,424.3597570578718,-9.710689987686855
NoblePark-East,470.0,463.771584883482,-1.3251947056421323
NoblePark-West,470.0,470.74965699983886,0.1595014893274175
Dandenong-North,470.0,462.09319688496817,-1.6822985351131563
Dandenong-South,470.0,433.1423146741382,-7.842060707630166
Keysborough-North,470.0,428.3094330565086,-8.870333392232208
Keysborough-South,470.0,392.20038656121415,-16.553109242294862
Ashwood-Chadstone,580.0,554.8685851210106,-4.333002565343
GlenWaverley-East,580.0,536.1167679284921,-7.56607449508757
GlenWaverley-West,580.0,517.6300387156865,-10.753441600743706
MountWaverley-North,580.0,519.7303181470428,-10.391324457406414
MountWaverley-South,580.0,537.299894728875,-7.362087115711214
Mulgrave,580.0,542.986505817061,-6.381636928092928
Oakleigh-Huntingdale,580.0,549.8332632146856,-5.201161514709372
WheelersHill,580.0,493.4548536482322,-14.921576957201346
Clayton(North)-NottingHill,580.0,484.85586320404525,-16.404161516543923
Clayton-Central,580.0,514.3483265180371,-11.319254048614296
Ardeer-Albion,449.0,452.63328029488935,0.8091938295967364
Cairnlea,449.0,411.9671943559773,-8.247840900673205
Delahey,449.0,434.91579248508936,-3.136794546750701
KeilorDowns,449.0,447.98001435262984,-0.22716829562809865
KingsPark(Vic.),449.0,458.9205521730754,2.2094770986804915
StAlbans-North,449.0,477.31839652812073,6.30699254523847
StAlbans-South,449.0,501.3624022387579,11.662004952952763
Sunshine,449.0,476.31892912772025,6.084394015082461
SunshineNorth,449.0,481.6647933914762,7.275009664025885
SunshineWest,449.0,501.5629311316468,11.706666176313316
Sydenham,449.0,445.5598721203703,-0.7661754743050555
TaylorsLakes,449.0,503.58466812550716,12.156941676059501
DeerPark,449.0,449.190055832662,0.04232869324320334
Derrimut,449.0,375.7369480114197,-16.31693808208915
Altona,500.0,537.7473637322053,7.549472746441052
AltonaMeadows,500.0,572.7436994279971,14.548739885599412
AltonaNorth,500.0,569.1138915036793,13.822778300735855
Newport,500.0,575.7913192275763,15.158263845515263
