region,median_2023,median_predictions_2026,Growth_Rate (%)
Elsternwick,560.0,557.94,-0.3678571428571331
Hughesdale,580.0,537.62,-7.3068965517241375
Murrumbeena,560.0,548.45,-2.0624999999999916
Ormond-GlenHuntly,560.0,561.37,0.24464285714285794
BentleighEast-North,560.0,557.52,-0.4428571428571461
BentleighEast-South,560.0,531.94,-5.010714285714276
Malvern-GlenIris,580.0,576.1,-0.6724137931034444
MalvernEast,580.0,570.85,-1.5775862068965478
Bundoora-East,500.0,498.91,-0.21799999999999498
Greensborough,500.0,522.52,4.503999999999996
Heidelberg-Rosanna,500.0,531.44,6.28800000000001
HeidelbergWest,500.0,542.98,8.596000000000004
Ivanhoe,500.0,553.44,10.688000000000011
IvanhoeEast-Eaglemont,500.0,510.58,2.1159999999999966
Montmorency-BriarHill,500.0,524.72,4.944000000000005
Viewbank-Yallambie,500.0,522.62,4.524000000000001
Watsonia,500.0,515.04,3.0079999999999925
Kingsbury,500.0,500.9,0.17999999999999547
Preston-East,500.0,548.54,9.707999999999993
Preston-West,500.0,527.81,5.561999999999989
Reservoir-NorthEast,500.0,501.7,0.33999999999999775
Reservoir-NorthWest,500.0,446.5,-10.7
Reservoir-SouthEast,500.0,495.1,-0.9799999999999954
Reservoir-SouthWest,500.0,536.15,7.229999999999995
Kinglake,393.0,445.06,13.246819338422391
Bundoora-North,500.0,500.34,0.067999999999995
Bundoora-West,500.0,480.96,-3.8080000000000043
MillPark-North,500.0,510.72,2.1440000000000055
MillPark-South,500.0,494.05,-1.1899999999999977
Thomastown,500.0,495.48,-0.9039999999999963
Wallan,440.0,493.88,12.245454545454544
Whittlesea,500.0,436.95,-12.610000000000001
Epping-East,500.0,508.55,1.7100000000000022
Epping-South,500.0,450.13,-9.974
Epping(Vic.)-West,500.0,539.08,7.816000000000008
SouthMorang-North,500.0,522.15,4.429999999999996
SouthMorang-South,500.0,510.37,2.0740000000000007
Wollert,500.0,562.79,12.557999999999991
Doreen-North,500.0,493.97,-1.2059999999999946
Doreen-South,500.0,498.35,-0.32999999999999546
Lalor-East,500.0,466.74,-6.651999999999998
Lalor-West,500.0,485.29,-2.941999999999996
Mernda-North,500.0,495.6,-0.8799999999999953
Mernda-South,500.0,507.54,1.5080000000000042
AirportWest,500.0,501.78,0.35599999999999454
EssendonAirport,500.0,413.14,-17.372000000000003
Keilor,449.0,480.28,6.96659242761692
Niddrie-EssendonWest,500.0,511.68,2.336000000000001
Strathmore,500.0,513.26,2.651999999999998
AvondaleHeights,500.0,482.62,-3.475999999999999
KeilorEast,500.0,490.38,-1.924000000000001
Gisborne,520.0,516.4,-0.6923076923076966
Macedon,520.0,515.36,-0.8923076923076897
RiddellsCreek,520.0,508.59,-2.194230769230774
Romsey,520.0,519.91,-0.01730769230769843
Sunbury,485.0,496.78,2.428865979381438
DiggersRest,470.0,394.77,-16.00638297872341
Sunbury-South,485.0,467.32,-3.6453608247422693
Sunbury-West,485.0,466.66,-3.781443298969067
Broadmeadows,485.0,484.93,-0.014432989690720243
Campbellfield-Coolaroo,485.0,464.03,-4.3237113402061915
GladstonePark-Westmeadows,485.0,510.75,5.309278350515464
Greenvale-Bulla,485.0,518.55,6.917525773195867
MeadowHeights,485.0,469.74,-3.1463917525773177
MelbourneAirport,485.0,404.78,-16.540206185567015
Tullamarine,485.0,503.61,3.8371134020618585
Craigieburn-Central,485.0,479.01,-1.2350515463917544
Craigieburn-North,485.0,518.37,6.880412371134022
Craigieburn-South,485.0,504.26,3.9711340206185546
Mickleham-Yuroke,485.0,555.2,14.474226804123722
Craigieburn-NorthWest,485.0,500.64,3.224742268041234
Craigieburn-West,485.0,495.19,2.101030927835051
RoxburghPark(South)-Somerton,485.0,465.6,-3.999999999999995
RoxburghPark-North,485.0,483.74,-0.2597938144329878
Bayswater,535.0,515.5,-3.6448598130841123
