Region,2018,2019,2020,2021,2022,2023
Port Melbourne Industrial,785,1 283,1 709,1 944,2 229,2 493
South Melbourne,12 716,12 764,12 721,11 856,11 884,12 512
St Kilda - Central,13 589,13 676,13 380,12 086,12 256,13 186
St Kilda - West,15 650,15 767,15 648,14 090,14 282,15 480
Armadale,9 906,10 044,10 075,9 433,9 376,9 769
Prahran - Windsor,21 286,21 092,20 847,19 444,19 291,20 268
Toorak,13 957,13 916,13 644,13 096,13 127,13 337
South Yarra - North,12 067,12 252,12 223,11 449,11 798,12 938
South Yarra - South,11 763,11 805,11 285,10 097,9 958,10 508
Abbotsford,9 527,9 594,9 672,9 258,9 513,10 008
Carlton North - Princes Hill,9 025,8 994,8 899,8 290,8 158,8 531
Collingwood,9 605,9 829,9 969,9 351,9 679,10 485
Fitzroy,11 373,11 373,11 299,10 608,10 812,11 484
Fitzroy North,13 336,13 529,13 659,12 945,12 973,13 382
Clifton Hill - Alphington,9 768,9 993,10 163,9 978,10 280,10 973
Richmond (South) - Cremorne,18 963,19 082,18 929,17 977,17 857,18 684
Richmond - North,14 771,15 077,15 025,14 074,14 073,14 884
Ashburton (Vic.),8 249,8 298,8 309,8 021,7 952,8 160
Balwyn,17 081,17 156,17 031,16 323,16 319,16 725
Balwyn North,21 780,21 935,21 930,21 406,21 322,21 883
Camberwell,22 812,22 839,22 604,21 500,21 286,21 813
Glen Iris - East,17 419,17 511,17 375,17 006,16 890,17 228
Hawthorn East,16 676,16 756,16 698,15 881,16 115,16 878
Kew East,6 786,6 784,6 783,6 555,6 572,6 636
Surrey Hills (West) - Canterbury,17 139,17 097,16 786,16 083,15 908,16 182
Hawthorn - North,11 280,11 076,10 862,10 017,10 055,10 560
Hawthorn - South,13 508,13 623,13 360,12 137,12 284,12 921
Kew - South,12 649,12 597,12 385,11 717,11 741,12 113
Kew - West,14 007,13 991,13 752,13 143,13 188,13 438
Bulleen,11 631,11 626,11 657,11 370,11 434,11 647
Doncaster,23 236,24 172,25 118,25 173,25 683,26 905
Templestowe,17 680,17 674,17 548,17 101,17 164,17 457
Templestowe Lower,14 419,14 441,14 581,14 280,14 346,14 445
Doncaster East - North,15 713,15 952,16 144,15 786,15 787,16 178
Doncaster East - South,15 120,15 766,15 942,15 593,15 725,16 300
Blackburn,22 743,22 931,23 032,22 356,22 331,22 928
Blackburn South,11 354,11 383,11 342,11 019,10 950,11 047
Box Hill,22 696,23 432,24 118,23 212,23 829,25 286
Box Hill North,18 662,18 761,18 903,18 292,18 396,19 021
Burwood (Vic.),13 392,13 448,13 468,12 522,12 932,14 001
Burwood East,10 898,10 974,11 053,10 774,11 096,11 885
Surrey Hills (East) - Mont Albert,10 661,10 747,10 666,10 251,10 326,10 645
Beaumaris,14 434,14 404,14 362,14 123,14 026,14 227
Brighton (Vic.),24 545,24 463,24 136,23 044,22 925,23 547
Brighton East,16 915,16 993,17 010,16 692,16 727,17 045
Highett (West) - Cheltenham,12 149,12 362,12 601,12 543,12 551,12 764
Hampton,18 819,18 912,18 997,18 405,18 508,18 828
Sandringham - Black Rock,17 761,17 994,17 912,17 521,17 504,17 861
Bentleigh - McKinnon,24 600,25 177,25 447,25 202,25 471,26 178
Carnegie,19 551,19 686,19 676,18 791,18 939,20 080
Caulfield - North,23 040,23 169,23 399,22 723,23 062,23 932
Caulfield - South,18 742,18 805,18 714,18 228,18 241,18 653
Elsternwick,12 417,12 516,12 509,12 030,12 121,12 455
Hughesdale,7 996,7 927,7 957,7 642,7 664,7 933
Murrumbeena,9 897,9 878,9 771,9 467,9 546,9 781
Ormond - Glen Huntly,14 212,14 261,14 198,13 280,13 426,14 038
Bentleigh East - North,15 986,16 411,16 815,16 758,16 898,17 258
Bentleigh East - South,13 944,14 033,14 127,14 159,14 120,14 462
Aspendale Gardens - Waterways,9 377,9 325,9 188,8 922,8 912,9 012
Braeside,47,41,34,28,28,28
Carrum - Patterson Lakes,12 333,12 333,12 269,12 115,12 174,12 352
Chelsea - Bonbeach,15 210,15 317,15 426,15 317,15 361,15 601
Chelsea Heights,5 564,5 586,5 562,5 426,5 375,5 379
Highett (East) - Cheltenham ,24 239,24 520,24 808,24 354,24 555,25 282
Edithvale - Aspendale,13 627,13 823,13 778,13 669,13 661,13 915
Mentone,13 813,13 883,13 856,13 303,13 370,13 727
Moorabbin - Heatherton,9 460,9 536,9 450,9 197,9 220,9 426
Moorabbin Airport,10,16,21,26,26,26
Mordialloc - Parkdale,21 358,21 714,21 782,21 429,21 419,21 889
Malvern - Glen Iris,21 378,21 592,21 457,20 469,20 559,21 348
Malvern East,22 983,23 099,23 079,22 202,22 415,23 167
Bundoora - East,10 359,10 372,10 295,9 920,9 841,10 024
Greensborough,21 460,21 476,21 373,20 995,20 855,20 980
Heidelberg - Rosanna,16 154,16 498,16 650,16 202,16 317,16 598
Heidelberg West,15 202,15 544,15 540,15 039,15 285,15 847
Ivanhoe,12 643,12 865,12 883,12 559,12 588,12 924
Ivanhoe East - Eaglemont,8 135,8 145,7 984,7 799,7 812,7 977
Montmorency - Briar Hill,16 921,16 958,16 905,16 660,16 642,16 852
Viewbank - Yallambie,19 220,19 244,19 188,18 891,18 834,19 039
Watsonia,9 551,9 505,9 476,9 305,9 253,9 361
Kingsbury,12 071,11 792,11 525,10 549,10 772,11 698
Preston - East,21 543,21 613,21 746,20 997,21 127,22 012
Preston - West,13 123,13 240,13 278,12 824,12 766,13 149
Reservoir - North East,15 496,15 588,15 565,14 987,14 960,15 463
Reservoir - North West,10 451,10 415,10 346,9 881,9 714,9 809
Reservoir - South East,13 422,13 473,13 399,12 939,13 023,13 429
Reservoir - South West,14 964,14 946,14 798,14 244,14 262,14 728
Eltham,24 124,24 151,24 113,23 707,23 524,23 509
Hurstbridge,3 626,3 624,3 632,3 576,3 542,3 529
Kinglake,4 121,4 153,4 172,4 237,4 309,4 353
Panton Hill - St Andrews,5 406,5 321,5 236,5 121,5 162,5 129
Plenty - Yarrambat,9 858,9 869,9 763,9 521,9 435,9 570
Research - North Warrandyte,7 021,7 001,6 999,6 987,6 969,6 979
Wattle Glen - Diamond Creek,14 507,14 498,14 579,14 538,14 434,14 548
Bundoora - North,8 005,7 876,7 760,7 424,7 491,7 773
Bundoora - West,6 471,6 478,6 463,6 237,6 305,6 538
Mill Park - North,18 597,18 476,18 274,17 640,17 321,17 449
Mill Park - South,12 250,12 047,11 897,11 339,11 167,11 288
Thomastown,21 458,21 367,21 173,20 201,19 992,20 197
Wallan,18 740,20 090,21 543,22 953,24 680,26 304
Whittlesea,9 121,9 436,9 803,10 763,12 336,14 020
Epping - East,13 931,13 928,13 793,13 269,13 170,13 354
Epping - South,8 783,8 766,8 655,8 279,8 085,8 301
Epping (Vic.) - West,12 431,12 598,12 552,12 279,12 403,12 699
South Morang - North,12 950,13 010,12 942,12 714,12 704,12 879
South Morang - South,12 769,12 811,12 856,12 513,12 410,12 588
Wollert,14 544,17 309,20 975,24 807,28 244,30 758
Doreen - North,15 853,16 065,16 321,16 484,16 712,17 110
Doreen - South,8 498,9 369,10 137,10 595,11 101,11 494
Lalor - East,10 636,10 591,10 426,10 025,9 843,9 963
Lalor - West,13 736,13 843,13 900,13 623,13 642,13 819
Mernda - North,10 437,11 111,11 473,11 553,11 658,11 775
Mernda - South,10 131,10 991,11 640,12 086,12 559,13 024
Airport West,8 169,8 390,8 362,8 240,8 295,8 464
Essendon Airport,6,8,11,14,14,14
Keilor,9 012,8 953,8 778,8 596,8 541,8 562
Niddrie - Essendon West,7 504,7 594,7 646,7 520,7 573,7 797
Strathmore,10 269,10 311,10 277,10 107,10 184,10 323
Avondale Heights,12 451,12 628,12 642,12 473,12 393,12 570
Keilor East,15 357,15 475,15 471,15 174,15 196,15 312
Gisborne,13 909,14 121,14 245,14 340,14 456,14 905
Macedon,3 542,3 541,3 536,3 540,3 581,3 590
Riddells Creek,4 298,4 340,4 442,4 498,4 539,4 561
