Mordialloc - Parkdale,2 019,2 055,2 112,2 199,2 175
Malvern - Glen Iris,3 282,3 324,3 379,3 535,3 451
Malvern East,2 522,2 573,2 611,2 823,2 795
Bundoora - East,825,856,904,1 001,915
Greensborough,1 594,1 580,1 584,1 674,1 600
Heidelberg - Rosanna,1 438,1 473,1 469,1 585,1 579
Heidelberg West,1 505,1 568,1 633,1 869,1 791
Ivanhoe,1 296,1 354,1 347,1 397,1 339
Ivanhoe East - Eaglemont,1 076,1 089,1 085,1 129,1 119
Montmorency - Briar Hill,1 385,1 358,1 392,1 456,1 407
Viewbank - Yallambie,1 024,1 027,1 053,1 109,1 058
Watsonia,500,528,535,561,565
Kingsbury,793,804,799,906,830
Preston - East,2 584,2 696,2 762,3 005,2 789
Preston - West,826,827,833,960,908
Reservoir - North East,957,969,971,1 105,1 006
Reservoir - North West,722,742,757,850,800
Reservoir - South East,807,875,848,997,916
Reservoir - South West,1 285,1 327,1 296,1 391,1 333
Eltham,2 236,2 260,2 300,2 363,2 275
Hurstbridge,346,352,373,397,362
Kinglake,367,392,394,441,431
Panton Hill - St Andrews,692,667,675,716,685
Plenty - Yarrambat,978,964,1 000,1 048,1 070
Research - North Warrandyte,812,795,808,829,844
Wattle Glen - Diamond Creek,1 127,1 114,1 150,1 210,1 182
Bundoora - North,789,783,843,950,953
Bundoora - West,515,516,518,584,566
Mill Park - North,1 268,1 330,1 378,1 500,1 456
Mill Park - South,711,714,698,783,729
Thomastown,2 858,3 000,3 092,3 449,3 337
Wallan,1 189,1 334,1 464,1 794,1 955
Whittlesea,754,759,821,1 057,1 222
Epping - East,830,830,809,912,849
Epping - South,1 008,1 014,1 089,1 282,1 217
Epping (Vic.) - West,922,1 022,1 125,1 374,1 401
South Morang - North,819,831,847,995,966
South Morang - South,729,762,766,901,894
Wollert,986,1 234,1 587,2 459,2 698
Doreen - North,811,834,887,1 021,1 035
Doreen - South,399,447,480,638,638
Lalor - East,700,730,726,875,834
Lalor - West,831,884,927,1 221,1 161
Mernda - North,509,551,576,738,740
Mernda - South,499,600,666,863,852
Airport West,803,848,881,975,968
Essendon Airport,128,133,137,172,160
Keilor,2 347,2 448,2 544,2 779,2 685
Niddrie - Essendon West,708,743,817,836,851
Strathmore,838,842,892,956,927
Avondale Heights,822,858,894,1 022,960
Keilor East,974,999,1 030,1 143,1 156
Gisborne,1 292,1 323,1 347,1 424,1 465
Macedon,320,336,350,387,389
Riddells Creek,335,332,381,418,417
Romsey,998,1 041,1 084,1 150,1 139
Coburg North,1 151,1 141,1 234,1 335,1 363
Fawkner,1 178,1 237,1 291,1 620,1 431
Gowanbrae,188,187,188,208,207
Hadfield,389,402,442,506,475
Glenroy - East,1 074,1 210,1 190,1 488,1 307
Glenroy - West,670,699,713,858,768
Oak Park,524,560,527,586,545
Pascoe Vale,1 110,1 145,1 201,1 347,1 297
Sunbury,859,872,918,971,910
Diggers Rest,160,200,241,340,351
Sunbury - South,1 045,1 042,1 109,1 228,1 176
Sunbury - West,567,536,552,627,621
Broadmeadows,1 147,1 234,1 290,1 779,1 599
Campbellfield - Coolaroo,3 187,3 304,3 507,4 087,3 913
Gladstone Park - Westmeadows,1 098,1 148,1 214,1 383,1 302
Greenvale - Bulla,1 719,1 781,1 891,2 222,2 270
Meadow Heights,855,903,970,1 255,1 091
Melbourne Airport,62,74,76,89,94
Tullamarine,773,773,791,877,847
Craigieburn - Central,492,516,563,696,602
