Region,2018,2019,2020,2021,2022,2023
West Melbourne - Residential,8 000.5,8 598.3,9 175.5,9 232.4,9 732,10 578.4
Albert Park,3 578.4,3 653.9,3 627,3 425,3 460.5,3 606.9
Elwood,6 372.1,6 346.3,6 237.8,5 888,5 831.6,6 055.2
Port Melbourne,6 221.4,6 205.6,6 093.8,5 867.2,5 875.8,6 016.3
St Kilda East,7 315.1,7 340,7 151,6 659.6,6 631.4,6 943.4
Port Melbourne Industrial,102.7,167.9,223.6,254.4,291.7,326.2
South Melbourne,6 729.1,6 754.5,6 731.8,6 274,6 288.8,6 621.2
St Kilda - Central,8 838.4,8 895,8 702.4,7 860.8,7 971.4,8 576.3
St Kilda - West,6 621,6 670.5,6 620.1,5 961,6 042.2,6 549.1
Armadale,4 536.8,4 600,4 614.2,4 320.1,4 294,4 474
Prahran - Windsor,7 326.6,7 259.8,7 175.5,6 692.6,6 639.9,6 976.2
Toorak,3 228.3,3 218.8,3 155.9,3 029.2,3 036.3,3 084.9
South Yarra - North,10 317.2,10 475.4,10 450.6,9 788.8,10 087.2,11 061.9
South Yarra - South,8 729.5,8 760.7,8 374.8,7 493.1,7 390,7 798.1
Abbotsford,5 473.7,5 512.2,5 557,5 319.2,5 465.7,5 750.1
Carlton North - Princes Hill,3 916.8,3 903.3,3 862.1,3 597.8,3 540.5,3 702.4
Collingwood,7 581.5,7 758.3,7 868.8,7 381,7 639.9,8 276.1
Fitzroy,8 253.9,8 253.9,8 200.2,7 698.7,7 846.7,8 334.4
Fitzroy North,5 323.5,5 400.6,5 452.5,5 167.5,5 178.6,5 341.9
Clifton Hill - Alphington,1 875.3,1 918.4,1 951.1,1 915.6,1 973.5,2 106.6
Richmond (South) - Cremorne,4 421.2,4 449,4 413.3,4 191.3,4 163.3,4 356.2
Richmond - North,7 680,7 839.1,7 812.1,7 317.6,7 317.1,7 738.8
Ashburton (Vic.),2 908.1,2 925.3,2 929.2,2 827.7,2 803.4,2 876.7
Balwyn,3 058.3,3 071.7,3 049.4,2 922.6,2 921.9,2 994.6
Balwyn North,2 461.2,2 478.8,2 478.2,2 419,2 409.5,2 472.9
Camberwell,3 128.4,3 132.1,3 099.9,2 948.5,2 919.1,2 991.4
Glen Iris - East,3 053.3,3 069.5,3 045.6,2 980.9,2 960.6,3 019.9
Hawthorn East,4 360.9,4 381.8,4 366.6,4 153,4 214.2,4 413.7
Kew East,1 690,1 689.5,1 689.2,1 632.5,1 636.7,1 652.6
Surrey Hills (West) - Canterbury,3 005.5,2 998.1,2 943.6,2 820.3,2 789.6,2 837.7
Hawthorn - North,4 593.2,4 510.1,4 423,4 078.9,4 094.4,4 300
Hawthorn - South,4 199.9,4 235.6,4 153.8,3 773.6,3 819.3,4 017.3
Kew - South,2 925.6,2 913.6,2 864.6,2 710.1,2 715.6,2 801.7
Kew - West,2 255.3,2 252.8,2 214.3,2 116.2,2 123.5,2 163.7
Bulleen,1 743.5,1 742.7,1 747.4,1 704.4,1 714,1 745.9
Doncaster,2 648.3,2 755,2 862.8,2 869.1,2 927.2,3 066.5
Templestowe,1 096.9,1 096.6,1 088.7,1 061,1 064.9,1 083.1
Templestowe Lower,2 428,2 431.7,2 455.3,2 404.6,2 415.7,2 432.4
Doncaster East - North,2 454,2 491.3,2 521.3,2 465.4,2 465.6,2 526.6
Doncaster East - South,3 170.9,3 306.4,3 343.3,3 270.1,3 297.8,3 418.3
Blackburn,2 642.2,2 664,2 675.8,2 597.2,2 594.3,2 663.7
Blackburn South,3 156.9,3 164.9,3 153.5,3 063.7,3 044.5,3 071.5
Box Hill,3 236.6,3 341.6,3 439.4,3 310.2,3 398.2,3 605.9
Box Hill North,3 005.8,3 021.7,3 044.6,2 946.2,2 962.9,3 063.6
Burwood (Vic.),2 657.6,2 668.7,2 672.6,2 484.9,2 566.3,2 778.4
Burwood East,2 556.5,2 574.3,2 592.8,2 527.4,2 602.9,2 788
Surrey Hills (East) - Mont Albert,3 203.5,3 229.4,3 205,3 080.3,3 102.9,3 198.7
Beaumaris,2 418.6,2 413.6,2 406.6,2 366.5,2 350.3,2 384
Brighton (Vic.),2 993.1,2 983.1,2 943.3,2 810.1,2 795.6,2 871.4
Brighton East,3 016.1,3 030,3 033,2 976.3,2 982.5,3 039.2
Highett (West) - Cheltenham,2 283.7,2 323.8,2 368.7,2 357.8,2 359.3,2 399.3
Hampton,3 310.5,3 326.8,3 341.8,3 237.6,3 255.8,3 312
Sandringham - Black Rock,2 762.2,2 798.4,2 785.6,2 724.8,2 722.2,2 777.7
Bentleigh - McKinnon,3 952.3,4 045,4 088.4,4 049,4 092.3,4 205.8
Carnegie,5 138.9,5 174.4,5 171.8,4 939.2,4 978.1,5 278
Caulfield - North,3 589.4,3 609.5,3 645.3,3 540,3 592.8,3 728.4
Caulfield - South,3 951.8,3 965.1,3 945.9,3 843.5,3 846.2,3 933.1
Elsternwick,4 339.2,4 373.8,4 371.3,4 203.9,4 235.7,4 352.5
Hughesdale,3 979.1,3 944.8,3 959.7,3 802.9,3 813.9,3 947.7
Murrumbeena,3 935.5,3 927.9,3 885.4,3 764.5,3 795.9,3 889.4
Ormond - Glen Huntly,4 838.8,4 855.5,4 834,4 521.5,4 571.2,4 779.5
Bentleigh East - North,3 476,3 568.5,3 656.3,3 643.9,3 674.4,3 752.6
