Chelsea - Bonbeach,2 232,2 291,2 366,2 437,2 493,2 537
Chelsea Heights,264,265,269,274,276,280
Highett (East) - Cheltenham ,2 457,2 512,2 634,2 700,2 748,2 791
Edithvale - Aspendale,473,526,627,719,787,840
Mentone,2 217,2 264,2 311,2 326,2 370,2 389
Moorabbin - Heatherton,253,281,310,331,345,366
Moorabbin Airport,,,,,,
Mordialloc - Parkdale,3 340,3 413,3 517,3 575,3 617,3 670
Malvern - Glen Iris,1 567,1 582,1 638,1 679,1 691,1 708
Malvern East,2 030,2 138,2 156,2 189,2 224,2 250
Bundoora - East,158,194,209,221,236,244
Greensborough,1 047,1 068,1 093,1 154,1 184,1 210
Heidelberg - Rosanna,1 000,1 040,1 092,1 125,1 172,1 210
Heidelberg West,1 793,1 972,2 140,2 288,2 466,2 600
Ivanhoe,1 120,1 133,1 157,1 170,1 189,1 207
Ivanhoe East - Eaglemont,86,94,99,116,120,123
Montmorency - Briar Hill,944,960,970,982,1 010,1 041
Viewbank - Yallambie,1 013,1 029,1 048,1 070,1 090,1 105
Watsonia,312,326,336,342,354,362
Kingsbury,725,763,774,784,831,849
Preston - East,1 763,1 850,1 932,2 024,2 147,2 224
Preston - West,1 531,1 560,1 591,1 638,1 671,1 703
Reservoir - North East,2 156,2 272,2 362,2 451,2 549,2 616
Reservoir - North West,477,481,487,500,504,511
Reservoir - South East,1 807,1 870,1 950,2 055,2 144,2 220
Reservoir - South West,2 336,2 426,2 508,2 576,2 630,2 719
Eltham,332,374,384,408,431,450
Hurstbridge,30,36,36,36,36,36
Kinglake,10,10,10,10,10,10
Panton Hill - St Andrews,,,,,,
Plenty - Yarrambat,84,86,87,87,87,87
Research - North Warrandyte,15,15,15,15,15,15
Wattle Glen - Diamond Creek,195,205,232,243,249,256
Bundoora - North,448,448,451,451,562,564
Bundoora - West,447,470,476,481,494,501
Mill Park - North,590,638,641,643,647,647
Mill Park - South,422,423,427,431,435,438
Thomastown,645,710,760,808,847,937
Wallan,342,347,378,415,432,489
Whittlesea,259,263,263,265,281,316
Epping - East,842,843,844,848,852,860
Epping - South,648,662,668,682,690,707
Epping (Vic.) - West,415,459,540,597,613,613
South Morang - North,364,369,369,386,397,397
South Morang - South,890,909,936,952,957,1 008
Wollert,391,424,472,584,851,1 039
Doreen - North,112,125,127,143,172,174
Doreen - South,260,262,320,320,320,320
Lalor - East,191,224,247,269,286,301
Lalor - West,48,60,189,203,229,242
Mernda - North,442,462,505,563,571,571
Mernda - South,139,142,142,173,184,195
Airport West,1 020,1 141,1 212,1 292,1 350,1 389
Essendon Airport,,,,,,
Keilor,433,435,442,449,457,471
Niddrie - Essendon West,787,841,917,968,1 013,1 054
Strathmore,584,637,674,711,763,785
Avondale Heights,749,809,976,1 025,1 102,1 148
Keilor East,821,901,978,1 044,1 103,1 171
Gisborne,444,447,454,458,462,482
Macedon,10,10,10,10,10,10
Riddells Creek,56,68,69,70,91,100
Romsey,50,52,62,68,68,84
Coburg North,564,652,694,713,736,751
Fawkner,642,717,776,811,861,910
Gowanbrae,330,333,349,351,354,356
Hadfield,450,506,551,669,706,740
Glenroy - East,1 619,1 760,1 880,1 994,2 109,2 192
Glenroy - West,833,923,1 030,1 150,1 205,1 247
Oak Park,1 049,1 153,1 285,1 357,1 425,1 478
Pascoe Vale,3 307,3 451,3 546,3 698,3 784,3 843
Sunbury,32,32,35,37,45,46
Diggers Rest,152,157,157,161,161,161
Sunbury - South,528,560,576,589,621,726
Sunbury - West,19,24,31,37,38,38
Broadmeadows,635,735,815,915,1 013,1 088
Campbellfield - Coolaroo,267,288,325,357,368,379
Gladstone Park - Westmeadows,472,588,633,743,776,808
Greenvale - Bulla,186,197,207,217,224,243
Meadow Heights,783,797,812,824,843,859
Melbourne Airport,5,5,5,5,5,5
Tullamarine,1 179,1 200,1 238,1 266,1 297,1 318
Craigieburn - Central,95,100,107,113,119,127
Craigieburn - North,333,408,408,408,408,408
Craigieburn - South,463,500,525,549,561,569
Mickleham - Yuroke,105,112,113,121,134,167
Craigieburn - North West,164,210,210,219,231,234
Craigieburn - West,606,653,727,797,830,837
Roxburgh Park (South) - Somerton,281,281,281,281,287,290
Roxburgh Park - North,252,272,293,336,359,376
Bayswater,1 249,1 292,1 360,1 436,1 503,1 537
Knoxfield - Scoresby,725,746,795,838,868,898
Lysterfield,,,,,,
Rowville - Central,201,217,253,339,415,468
Rowville - North,310,310,310,310,310,310
Rowville - South,167,175,181,187,194,198
Wantirna,446,468,495,524,547,570
Wantirna South,1 151,1 170,1 191,1 224,1 269,1 281
Boronia,2 218,2 336,2 437,2 536,2 594,2 664
Ferntree Gully - North,665,679,713,726,746,781
Ferntree Gully (South) - Upper Ferntree Gully,197,256,326,346,382,400
The Basin,53,53,55,55,55,55
Donvale - Park Orchards,398,411,437,462,477,501
Warrandyte - Wonga Park,15,15,15,20,20,20
Bayswater North,684,692,698,709,719,727
Croydon Hills - Warranwood,140,152,158,171,181,186
Ringwood,721,796,840,902,955,1 001
Ringwood East,382,403,481,515,566,597
Ringwood North,12,13,16,30,36,42
Croydon - East,1 190,1 238,1 268,1 302,1 357,1 390
Croydon - West,144,186,207,228,284,306
Croydon South,119,123,128,130,145,160
Forest Hill,1 088,1 123,1 137,1 156,1 162,1 183
Mitcham (Vic.),2 111,2 171,2 212,2 243,2 268,2 295
Nunawading,1 390,1 409,1 432,1 460,1 480,1 498
Vermont,802,816,821,828,839,845
Vermont South,393,395,399,419,425,433
Belgrave - Selby,15,15,15,15,15,15
Chirnside Park,50,52,68,80,84,94
Healesville - Yarra Glen,399,413,422,424,428,436
Kilsyth,313,357,412,466,537,590
Lilydale - Coldstream,1 200,1 242,1 288,1 366,1 416,1 473
Monbulk - Silvan,51,51,51,51,51,51
Montrose,121,121,121,121,121,121
Mooroolbark,212,231,295,342,385,414
Mount Dandenong - Olinda,30,30,30,30,30,30
Mount Evelyn,59,60,62,65,70,73
Upwey - Tecoma,53,58,58,60,60,60
Wandin - Seville,5,5,5,5,5,5
Yarra Valley,141,143,147,147,147,158
Emerald - Cockatoo,27,27,27,27,30,33
Beaconsfield - Officer,318,424,503,506,560,593
Bunyip - Garfield,5,6,11,19,32,34
Koo Wee Rup,123,125,125,128,132,135
Pakenham - North East,616,638,651,658,673,674
Pakenham - North West,10,26,34,121,121,137
Pakenham - South East,581,611,634,819,908,915
