Region,2016,2017,2018,2019,2020
Yarra Valley,12 230,12 686,12 739,13 145,12 892
Emerald - Cockatoo,14 346,15 060,15 086,15 404,15 085
Beaconsfield - Officer,10 789,12 868,14 843,16 930,18 177
Bunyip - Garfield,6 704,7 139,7 255,7 459,7 471
Koo Wee Rup,5 955,6 343,6 545,6 876,7 342
Pakenham - North East,10 654,11 416,11 964,12 529,12 661
Pakenham - North West,3 744,4 019,4 221,4 428,4 481
Pakenham - South East,3 405,3 692,3 867,4 074,4 144
Pakenham - South West,17 116,18 565,19 449,20 494,20 853
Berwick - North,17 564,18 135,18 004,18 220,17 770
Doveton,7 018,7 468,7 826,8 136,8 221
Hallam,7 651,7 836,8 035,8 276,8 244
Narre Warren North,6 060,6 325,6 275,6 417,6 192
Endeavour Hills - North,8 707,8 852,9 202,9 377,9 084
Endeavour Hills - South,10 446,10 619,10 562,10 645,10 161
Narre Warren - North East,10 549,10 835,10 936,11 205,10 902
Narre Warren - South West,10 547,10 993,11 381,11 813,11 587
Berwick - South East,12 579,13 330,13 815,14 704,14 713
Berwick - South West,7 048,7 469,7 741,8 240,8 244
Cranbourne,15 128,15 378,15 998,16 475,16 211
Cranbourne South,6 904,7 463,8 384,10 124,11 911
Cranbourne West,11 765,13 365,14 373,15 492,16 307
Lynbrook - Lyndhurst,11 584,12 494,13 200,13 795,14 138
Pearcedale - Tooradin,6 241,6 459,6 460,6 519,6 421
Narre Warren South - East,10 179,10 479,10 746,10 980,10 635
Narre Warren South - West,12 196,12 797,13 058,13 142,12 750
Clyde North - North,2 060,2 782,3 413,4 204,4 795
Clyde North - South,231,312,383,472,538
Cranbourne East - North,13 556,18 310,22 464,27 671,31 560
Cranbourne East - South,3 052,4 122,5 057,6 229,7 105
Cranbourne North - East,6 335,6 958,7 518,7 878,7 921
Cranbourne North - West,8 985,9 868,10 664,11 173,11 235
Hampton Park - East,9 019,9 290,9 540,9 705,9 503
Hampton Park - West,9 516,9 801,10 065,10 240,10 025
Clarinda - Oakleigh South,8 705,8 984,9 040,9 034,8 668
Clayton South,9 668,10 373,10 989,11 747,12 027
Dandenong North,15 681,16 439,16 694,17 408,16 816
Dingley Village,8 084,8 189,8 096,8 365,8 116
Noble Park North,5 248,5 351,5 415,5 691,5 544
Springvale,14 785,15 701,16 863,18 216,18 675
Springvale South,8 775,9 074,9 487,9 864,9 666
Noble Park - East,9 548,10 262,10 845,11 689,11 768
Noble Park - West,12 557,13 811,14 713,15 813,16 168
Dandenong - North,14 545,15 524,16 525,17 232,16 947
Dandenong - South,6 090,6 500,6 919,7 215,7 096
Keysborough - North,11 078,11 897,12 447,13 330,13 394
Keysborough - South,8 092,8 690,9 093,9 738,9 785
Ashwood - Chadstone,14 035,15 227,15 616,16 550,16 739
Glen Waverley - East,14 793,15 174,15 459,15 950,15 694
Glen Waverley - West,13 839,14 097,14 725,15 569,15 543
Mount Waverley - North,11 306,11 803,12 108,12 563,12 389
Mount Waverley - South,13 732,14 457,15 022,15 264,15 116
Mulgrave,14 263,14 533,14 715,15 416,15 478
Oakleigh - Huntingdale,17 025,17 872,18 543,19 524,19 562
Wheelers Hill,14 509,14 443,14 598,14 912,14 577
Clayton (North) - Notting Hill,5 648,5 980,6 368,6 981,7 373
Clayton - Central,8 348,8 837,9 412,10 317,10 896
Ardeer - Albion,6 105,6 410,6 735,7 175,7 091
Cairnlea,7 024,7 315,7 728,7 674,7 556
Delahey,5 974,6 195,6 340,6 378,6 021
Keilor Downs,9 838,10 024,10 076,10 295,9 693
Kings Park (Vic.),8 465,8 930,9 316,9 491,9 099
St Albans - North,12 885,13 890,14 944,15 516,15 137
St Albans - South,10 750,11 651,12 387,12 610,12 394
Sunshine,7 616,8 199,8 673,9 280,9 161
Sunshine North,7 571,7 931,8 454,8 991,8 971
Sunshine West,12 353,13 279,14 022,14 625,14 088
Sydenham,9 331,9 630,9 811,10 097,9 753
Taylors Lakes,14 767,15 186,14 807,14 647,14 286
Deer Park,12 521,13 213,13 715,14 113,13 703
Derrimut,5 745,6 062,6 293,6 475,6 287
Altona,10 195,10 589,10 710,10 793,10 675
Altona Meadows,14 561,15 102,15 195,15 320,14 738
Altona North,9 217,9 878,10 262,10 889,10 722
Newport,15 083,15 861,16 128,16 646,16 299
Seabrook,3 869,3 979,4 198,4 254,4 067
Williamstown,12 655,12 895,13 121,13 423,13 258
Braybrook,13 876,14 976,15 839,16 659,16 823
Footscray,16 048,17 193,18 067,18 745,18 650
Maribyrnong,11 073,11 940,12 292,12 692,12 716
Seddon - Kingsville,8 594,9 084,9 212,9 190,8 907
West Footscray - Tottenham,10 486,11 081,11 405,12 038,11 468
Yarraville,13 516,13 795,14 067,14 543,14 242
Bacchus Marsh,15 031,16 171,16 475,17 465,17 897
Melton West,12 698,7 008,14 390,15 212,15 045
Rockbank - Mount Cottrell,1 364,1 256,3 160,4 869,7 858
Taylors Hill,13 543,14 135,14 434,15 010,14 751
Burnside,3 305,3 561,3 661,3 872,3 898
Burnside Heights,4 315,4 556,4 559,4 775,4 634
Caroline Springs,14 671,15 433,15 801,16 295,15 976
Brookfield,6 158,6 340,7 501,8 207,8 821
Cobblebank - Strathtulloh,653,673,796,871,936
Eynesbury - Exford,1 864,1 919,2 270,2 484,2 670
Fraser Rise - Plumpton,3 381,3 591,3 928,4 099,4 165
Hillside,12 484,13 261,14 506,15 137,15 382
Kurunjang - Toolern Vale,7 454,8 069,8 013,8 143,7 877
Melton,5 466,5 917,5 877,5 971,5 777
Melton South - Weir Views,7 513,7 735,9 152,10 013,10 762
Hoppers Crossing - North,15 501,16 042,16 368,16 456,15 739
Hoppers Crossing - South,14 153,14 724,15 368,15 690,15 166
Laverton,7 497,8 741,9 450,10 743,11 051
Werribee - South,8 665,9 557,10 174,11 533,12 577
Point Cook - East,9 240,11 240,12 496,13 930,14 784
Point Cook - South,11 031,12 502,13 087,14 170,14 248
Werribee - East,13 646,14 389,14 611,14 979,14 466
Werribee - West,9 512,10 773,12 191,14 332,16 234
Manor Lakes - Quandong,2 161,2 442,2 600,2 846,3 041
Point Cook - North East,10 772,11 188,11 696,11 865,11 659
Point Cook - North West,6 552,6 806,7 115,7 218,7 092
Tarneit (West) - Mount Cottrell,211,237,270,305,328
Tarneit - Central,18 580,20 939,23 784,26 864,28 938
Tarneit - North,128,144,164,185,200
Tarneit - South,7 773,8 760,9 950,11 239,12 106
Truganina - North,15,17,19,22,24
Truganina - South East,4 536,5 224,5 833,6 604,7 257
Truganina - South West,13 076,15 059,16 812,19 035,20 918
Wyndham Vale - North,3 618,4 088,4 354,4 764,5 091
Wyndham Vale - South,11 287,12 755,13 583,14 864,15 883
Carrum Downs,16 251,16 842,17 426,18 160,17 892
Frankston,17 020,17 801,18 403,19 019,18 453
Frankston North,12 843,13 256,13 697,14 301,13 736
Frankston South,14 305,14 568,14 575,14 742,14 393
Langwarrin,19 982,20 213,20 391,20 660,20 137
Seaford (Vic.),12 899,13 256,13 381,13 618,13 446
Skye - Sandhurst,10 522,10 826,10 960,11 274,11 098
Dromana,7 774,8 459,8 635,9 070,8 894
Flinders,4 323,4 373,4 423,4 418,4 313
Hastings - Somers,15 570,16 043,16 316,16 919,16 833
Mount Eliza,13 432,13 743,14 058,13 977,13 813
Mount Martha,13 933,14 104,14 306,14 725,14 544
Point Nepean,12 169,12 503,12 509,12 941,12 938
Rosebud - McCrae,13 109,13 720,13 954,14 450,14 489
Somerville,14 816,15 318,15 275,15 574,15 033
Mornington - East,10 358,10 774,10 834,11 113,10 860
Mornington - West,6 829,7 104,7 144,7 328,7 161
Ararat,5 601,5 719,5 966,5 920,5 878
Ararat Surrounds,2 767,2 824,2 846,2 919,2 885
Horsham,12 650,13 248,13 415,13 412,13 562
Horsham Surrounds,3 271,3 448,3 420,3 369,3 448
Nhill Region,5 218,5 412,5 562,5 685,5 648
St Arnaud,2 672,2 716,2 814,2 834,2 740
Stawell,5 990,6 344,6 517,6 639,6 492
West Wimmera,2 583,2 725,2 704,2 744,2 682
Yarriambiack,4 858,5 085,5 186,4 998,5 086
Irymple,4 783,5 293,5 416,5 895,6 116
Merbein,3 566,3 959,3 902,3 937,3 959
Mildura Surrounds,2 753,2 966,3 084,3 271,3 171
Red Cliffs,4 542,4 861,5 120,5 437,5 672
Mildura - North,14 720,15 426,15 838,16 465,16 357
Mildura - South,10 424,11 340,13 207,13 688,14 408
Buloke,4 625,4 955,4 959,4 814,5 035
Gannawarra,4 902,5 195,5 232,5 125,5 033
Kerang,2 818,2 804,2 838,2 824,2 655
Robinvale,2 812,3 004,2 905,3 380,3 957
Swan Hill,8 784,9 017,9 124,9 113,9 244
Swan Hill Surrounds,5 187,5 485,5 483,5 680,5 851
Echuca,12 290,12 400,12 646,12 603,12 600
Kyabram,8 183,8 292,8 361,8 711,8 462
Lockington - Gunbower,3 095,3 198,3 268,3 295,3 216
Rochester,2 870,3 073,3 165,3 093,2 982
