Region,2016,2017,2018,2019,2020
Bentleigh East - North,50 451,52 037,53 612,55 684,57 987
Bentleigh East - South,50 016,51 321,53 287,55 132,58 178
Aspendale Gardens - Waterways,50 225,51 133,51 722,53 498,55 232
Braeside,53 537,50 716,57 749,64 828,69 291
Carrum - Patterson Lakes,50 431,52 287,54 598,55 429,56 861
Chelsea - Bonbeach,52 301,53 769,55 691,57 912,58 489
Chelsea Heights,49 780,50 537,52 094,54 284,54 960
Highett (East) - Cheltenham ,49 316,51 032,53 465,55 868,56 743
Edithvale - Aspendale,53 438,54 869,57 916,59 805,61 332
Mentone,52 057,52 385,54 225,57 231,59 486
Moorabbin - Heatherton,49 514,50 347,51 528,54 256,56 002
Moorabbin Airport,----,65 632,50 000,72 075,56 708
Mordialloc - Parkdale,53 765,56 029,58 033,60 719,62 092
Malvern - Glen Iris,63 991,64 668,66 233,69 729,70 298
Malvern East,57 116,58 012,59 019,59 487,61 126
Bundoora - East,44 344,44 655,45 700,47 739,49 030
Greensborough,52 197,53 472,54 987,56 606,58 971
Heidelberg - Rosanna,52 144,53 646,56 659,60 604,61 975
Heidelberg West,45 343,46 681,47 865,49 231,51 092
Ivanhoe,57 581,59 140,61 543,63 441,64 964
Ivanhoe East - Eaglemont,59 785,60 959,63 761,67 321,67 903
Montmorency - Briar Hill,53 139,54 620,56 972,58 432,60 259
Viewbank - Yallambie,51 038,52 582,53 932,56 529,58 806
Watsonia,51 999,53 514,53 672,56 433,58 876
Kingsbury,42 174,41 291,41 039,42 110,44 240
Preston - East,46 665,48 132,49 779,52 263,54 282
Preston - West,50 124,50 434,52 506,54 494,56 530
Reservoir - North East,,,,,
Reservoir - North West,,,,,
Reservoir - South East,,,,,
Reservoir - South West,,,,,
Eltham,53 864,55 062,56 728,58 655,60 025
Hurstbridge,50 232,49 592,53 364,55 808,55 236
Kinglake,44 441,45 239,46 711,48 674,50 564
Panton Hill - St Andrews,45 846,48 770,48 745,50 492,50 419
Plenty - Yarrambat,53 578,54 993,57 025,58 178,59 405
Research - North Warrandyte,53 130,54 167,55 958,58 242,58 942
Wattle Glen - Diamond Creek,52 615,53 989,55 982,58 722,59 703
Bundoora - North,45 424,46 226,47 008,48 434,49 125
Bundoora - West,41 924,41 720,43 578,45 073,45 748
Mill Park - North,46 981,47 643,49 127,50 871,51 705
Mill Park - South,46 317,47 167,47 934,48 854,50 090
Thomastown,39 813,40 228,41 612,43 212,44 316
Wallan,50 595,50 913,52 622,54 135,55 547
Whittlesea,46 922,49 063,50 795,51 318,52 576
Epping - East,44 370,44 885,46 641,49 607,50 749
Epping - South,42 845,43 097,43 767,45 580,45 867
Epping (Vic.) - West,47 317,48 002,48 478,50 360,51 111
South Morang - North,51 714,52 318,54 061,55 083,56 619
South Morang - South,48 548,49 519,51 029,52 760,54 365
Wollert,49 098,48 687,50 802,51 903,51 609
Doreen - North,,,,,
Doreen - South,,,,,
Lalor - East,,,,,
Lalor - West,,,,,
Mernda - North,,,,,
Mernda - South,,,,,
Airport West,52 329,53 575,55 912,58 506,60 083
Essendon Airport,----,24 967,27 711,22 966,39 293
Keilor,49 561,50 448,52 595,54 647,55 777
Niddrie - Essendon West,54 618,54 804,56 809,58 938,61 999
Strathmore,55 979,56 942,58 830,60 499,62 589
Avondale Heights,,,,,
Keilor East,,,,,
Gisborne,52 218,54 505,55 891,58 611,59 654
Macedon,53 235,56 058,58 258,60 690,61 638
Riddells Creek,50 967,52 653,53 730,54 717,56 191
Romsey,47 303,48 804,51 057,52 984,53 594
Coburg North,46 853,48 607,51 037,53 697,55 518
Fawkner,38 676,40 000,41 577,42 163,43 312
Gowanbrae,55 660,56 136,59 224,61 648,59 771
Hadfield,44 034,47 312,49 025,50 497,52 379
Glenroy - East,,,,,
Glenroy - West,,,,,
Oak Park,,,,,
Pascoe Vale,,,,,
Sunbury,50 417,51 489,53 005,56 178,56 488
Diggers Rest,,,,,
Sunbury - South,,,,,
Sunbury - West,,,,,
Broadmeadows,35 954,34 939,36 296,36 152,36 715
