Region,2018,2019,2020,2021,2022,2023
Heidelberg - Rosanna,----,----,----,----,1 771,1 263
Heidelberg West,----,----,----,----,2 111,1 604
Ivanhoe,----,----,----,----,1 345,1 121
Ivanhoe East - Eaglemont,----,----,----,----,740,640
Montmorency - Briar Hill,----,----,----,----,1 459,1 162
Viewbank - Yallambie,----,----,----,----,1 906,1 563
Watsonia,----,----,----,----,918,647
Kingsbury,----,----,----,----,1 258,1 033
Preston - East,----,----,----,----,2 853,2 153
Preston - West,----,----,----,----,1 378,1 102
Reservoir - North East,----,----,----,----,1 786,1 268
Reservoir - North West,----,----,----,----,817,705
Reservoir - South East,----,----,----,----,1 489,1 067
Reservoir - South West,----,----,----,----,1 671,1 258
Eltham,----,----,----,----,1 680,1 325
Hurstbridge,----,----,----,----,306,202
Kinglake,----,----,----,----,404,275
Panton Hill - St Andrews,----,----,----,----,451,284
Plenty - Yarrambat,----,----,----,----,736,630
Research - North Warrandyte,----,----,----,----,578,429
Wattle Glen - Diamond Creek,----,----,----,----,1 059,825
Bundoora - North,----,----,----,----,759,560
Bundoora - West,----,----,----,----,646,486
Mill Park - North,----,----,----,----,1 469,1 139
Mill Park - South,----,----,----,----,1 000,800
Thomastown,----,----,----,----,1 891,1 361
Wallan,----,----,----,----,3 211,2 759
Whittlesea,----,----,----,----,2 237,2 164
Epping - East,----,----,----,----,1 295,992
Epping - South,----,----,----,----,817,869
Epping (Vic.) - West,----,----,----,----,1 472,1 091
South Morang - North,----,----,----,----,1 201,949
South Morang - South,----,----,----,----,1 208,982
Wollert,----,----,----,----,4 317,3 040
Doreen - North,----,----,----,----,1 567,1 322
Doreen - South,----,----,----,----,1 418,1 055
Lalor - East,----,----,----,----,907,675
Lalor - West,----,----,----,----,1 192,858
Mernda - North,----,----,----,----,1 366,1 023
Mernda - South,----,----,----,----,1 414,1 273
Airport West,----,----,----,----,917,735
Essendon Airport,,,,,,
Keilor,----,----,----,----,693,490
Niddrie - Essendon West,----,----,----,----,925,713
Strathmore,----,----,----,----,939,687
Avondale Heights,----,----,----,----,929,790
Keilor East,----,----,----,----,1 182,872
Gisborne,----,----,----,----,1 278,1 047
Macedon,----,----,----,----,355,224
Riddells Creek,----,----,----,----,389,282
Romsey,----,----,----,----,1 030,726
Coburg North,----,----,----,----,1 089,743
Fawkner,----,----,----,----,1 260,936
Gowanbrae,----,----,----,----,255,216
Hadfield,----,----,----,----,790,530
Glenroy - East,----,----,----,----,1 811,1 313
Glenroy - West,----,----,----,----,1 088,754
Oak Park,----,----,----,----,1 108,758
Pascoe Vale,----,----,----,----,2 144,1 611
Sunbury,----,----,----,----,1 340,1 278
Diggers Rest,----,----,----,----,906,819
Sunbury - South,----,----,----,----,1 677,1 548
Sunbury - West,----,----,----,----,1 097,949
Broadmeadows,----,----,----,----,1 492,1 103
Campbellfield - Coolaroo,----,----,----,----,1 488,1 027
Gladstone Park - Westmeadows,----,----,----,----,1 519,1 082
Greenvale - Bulla,----,----,----,----,2 499,1 938
Meadow Heights,----,----,----,----,1 326,1 016
Melbourne Airport,,,,,,
Tullamarine,----,----,----,----,762,548
Craigieburn - Central,----,----,----,----,947,695
Craigieburn - North,----,----,----,----,1 351,1 037
