Region,2018,2019,2020,2021,2022,2023
Keilor,5 418,5 356,5 219,5 058,5 003,----
Niddrie - Essendon West,4 921,5 020,5 080,5 020,5 094,----
Strathmore,6 732,6 755,6 706,6 545,6 579,----
Avondale Heights,7 342,7 394,7 348,7 169,7 103,----
Keilor East,9 252,9 343,9 344,9 069,9 186,----
Gisborne,8 634,8 741,8 784,8 805,8 872,----
Macedon,2 116,2 107,2 098,2 074,2 068,----
Riddells Creek,2 768,2 788,2 842,2 887,2 883,----
Romsey,6 518,6 693,6 830,6 929,7 009,----
Coburg North,5 794,5 886,5 959,5 785,5 922,----
Fawkner,9 331,9 502,9 434,8 965,9 064,----
Gowanbrae,1 987,2 011,2 035,2 030,2 030,----
Hadfield,3 849,3 974,4 077,4 006,4 074,----
Glenroy - East,10 352,10 523,10 564,10 094,10 066,----
Glenroy - West,6 168,6 387,6 517,6 330,6 430,----
Oak Park,5 614,5 733,5 796,5 662,5 771,----
Pascoe Vale,12 142,12 291,12 321,11 993,12 108,----
Sunbury,9 115,9 221,9 321,9 184,9 211,----
Diggers Rest,2 173,2 701,3 323,3 738,4 106,----
Sunbury - South,9 245,9 454,9 677,9 672,9 863,----
Sunbury - West,8 050,8 065,7 876,7 621,7 453,----
Broadmeadows,9 870,10 090,10 109,9 585,9 412,----
Campbellfield - Coolaroo,10 934,10 931,10 683,10 198,9 937,----
Gladstone Park - Westmeadows,12 093,12 052,11 924,11 478,11 275,----
Greenvale - Bulla,13 682,14 191,14 723,15 275,15 910,----
Meadow Heights,10 895,10 848,10 745,10 083,9 658,----
Melbourne Airport,152,136,119,107,112,----
Tullamarine,4 544,4 546,4 494,4 324,4 222,----
Craigieburn - Central,6 100,6 080,5 962,5 559,5 387,----
Craigieburn - North,8 803,8 912,8 842,8 507,8 578,----
Craigieburn - South,13 684,14 415,14 975,15 074,15 447,----
Mickleham - Yuroke,6 494,9 802,12 832,16 039,19 210,----
Craigieburn - North West,5 051,5 581,6 178,6 578,6 791,----
Craigieburn - West,7 227,7 826,8 402,8 699,8 967,----
Roxburgh Park (South) - Somerton,7 255,7 248,7 200,6 853,6 766,----
Roxburgh Park - North,9 346,9 827,10 076,9 978,10 192,----
Bayswater,8 464,8 580,8 614,8 396,8 399,----
Knoxfield - Scoresby,11 066,11 288,11 290,11 027,10 944,----
Lysterfield,5 053,5 010,4 900,4 717,4 613,----
Rowville - Central,11 169,11 065,10 881,10 497,10 359,----
Rowville - North,5 595,5 531,5 449,5 315,5 163,----
Rowville - South,7 582,7 528,7 418,7 145,6 974,----
Wantirna,9 337,9 266,9 204,8 748,8 567,----
Wantirna South,12 167,12 071,11 867,11 298,11 054,----
Boronia,15 222,15 407,15 559,15 410,15 424,----
Ferntree Gully - North,9 342,9 357,9 255,9 055,9 000,----
Ferntree Gully (South) - Upper Ferntree Gully,10 383,10 425,10 342,10 253,10 145,----
The Basin,2 976,2 945,2 909,2 884,2 814,----
Donvale - Park Orchards,10 546,10 514,10 398,10 136,10 113,----
Warrandyte - Wonga Park,7 006,6 971,6 817,6 597,6 452,----
Bayswater North,8 506,8 506,8 359,8 026,7 920,----
Croydon Hills - Warranwood,12 670,12 582,12 475,12 116,11 930,----
Ringwood,12 206,12 531,12 751,12 516,12 596,----
Ringwood East,13 888,14 023,14 082,13 698,13 659,----
Ringwood North,6 407,6 349,6 225,6 041,5 953,----
Croydon - East,10 556,10 612,10 632,10 396,10 444,----
Croydon - West,8 756,8 850,8 789,8 493,8 429,----
Croydon South,3 184,3 209,3 215,3 145,3 163,----
Forest Hill,7 116,7 093,7 038,6 746,6 763,----
Mitcham (Vic.),11 442,11 488,11 535,11 225,11 290,----
Nunawading,8 358,8 396,8 387,8 076,8 126,----
Vermont,6 834,6 921,6 937,6 750,6 697,----
Vermont South,7 515,7 451,7 306,7 048,7 063,----
