Strathmore,407,466,578
Avondale Heights,662,722,887
Keilor East,686,872,1 018
Gisborne,518,593,664
Macedon,108,111,101
Riddells Creek,97,120,172
Romsey,330,397,389
Coburg North,670,795,958
Fawkner,964,1 223,1 410
Gowanbrae,131,153,160
Hadfield,416,478,619
Glenroy - East,1 270,1 712,1 977
Glenroy - West,772,1 016,1 241
Oak Park,575,748,985
Pascoe Vale,1 520,2 052,2 351
Sunbury,506,553,638
Diggers Rest,129,156,402
Sunbury - South,988,1 276,1 461
Sunbury - West,631,784,816
Broadmeadows,1 322,1 830,2 094
Campbellfield - Coolaroo,1 176,1 306,1 444
Gladstone Park - Westmeadows,950,1 090,1 312
Greenvale - Bulla,199,393,803
Meadow Heights,1 157,1 252,1 300
Melbourne Airport,3,----,----
Tullamarine,761,853,922
Craigieburn - Central,504,617,703
Craigieburn - North,399,737,956
Craigieburn - South,664,1 221,1 592
Mickleham - Yuroke,32,74,1 501
Craigieburn - North West,13,515,851
Craigieburn - West,240,836,1 258
Roxburgh Park (South) - Somerton,424,555,608
Roxburgh Park - North,393,536,808
Bayswater,1 165,1 418,1 664
Knoxfield - Scoresby,791,1 025,1 336
Lysterfield,135,137,151
Rowville - Central,694,851,1 017
Rowville - North,307,298,331
Rowville - South,280,318,383
Wantirna,778,899,974
Wantirna South,802,1 043,1 316
Boronia,1 908,2 186,2 618
Ferntree Gully - North,1 023,1 119,1 289
Ferntree Gully (South) - Upper Ferntree Gully,761,847,988
The Basin,157,143,146
Donvale - Park Orchards,573,603,689
Warrandyte - Wonga Park,191,202,212
Bayswater North,825,834,883
Croydon Hills - Warranwood,672,773,814
Ringwood,2 175,2 449,2 881
Ringwood East,1 543,1 770,1 949
Ringwood North,337,373,403
Croydon - East,1 627,1 761,1 976
Croydon - West,870,1 072,1 162
Croydon South,288,298,345
Forest Hill,875,1 000,1 049
Mitcham (Vic.),1 311,1 659,1 774
Nunawading,1 055,1 174,1 312
Vermont,558,622,706
Vermont South,366,440,565
Belgrave - Selby,288,256,253
Chirnside Park,333,442,605
Healesville - Yarra Glen,861,821,740
Kilsyth,561,626,762
Lilydale - Coldstream,1 159,1 236,1 341
Monbulk - Silvan,247,228,247
Montrose,249,226,197
Mooroolbark,1 204,1 357,1 642
Mount Dandenong - Olinda,328,320,289
Mount Evelyn,316,271,308
Upwey - Tecoma,398,380,380
Wandin - Seville,243,225,263
Yarra Valley,810,816,738
Emerald - Cockatoo,475,501,449
Beaconsfield - Officer,367,847,1 986
Bunyip - Garfield,333,345,388
Koo Wee Rup,428,450,520
Pakenham - North East,1 108,1 474,1 608
Pakenham - North West,289,590,714
Pakenham - South East,507,592,1 023
Pakenham - South West,1 437,2 094,2 425
Berwick - North,1 252,1 486,1 533
Doveton,1 235,1 459,1 679
Hallam,680,798,918
Narre Warren North,76,87,94
Endeavour Hills - North,622,650,719
Endeavour Hills - South,670,670,777
Narre Warren - North East,749,824,917
Narre Warren - South West,1 093,1 333,1 695
Berwick - South East,737,949,1 142
Berwick - South West,733,835,1 100
Cranbourne,1 762,1 981,2 435
Cranbourne South,182,235,862
Cranbourne West,684,945,1 423
Lynbrook - Lyndhurst,451,661,997
Pearcedale - Tooradin,284,277,295
Narre Warren South - East,297,341,417
Narre Warren South - West,747,844,959
Clyde North - North,----,151,638
