Cranbourne North - East,96,317,362
Cranbourne North - West,375,444,399
Hampton Park - East,433,573,456
Hampton Park - West,460,563,521
Clarinda - Oakleigh South,324,363,272
Clayton South,455,566,485
Dandenong North,727,937,724
Dingley Village,184,235,199
Noble Park North,260,278,219
Springvale,889,1 078,831
Springvale South,491,552,448
Noble Park - East,490,524,432
Noble Park - West,705,898,687
Dandenong - North,907,1 243,870
Dandenong - South,219,384,329
Keysborough - North,459,619,450
Keysborough - South,118,386,371
Ashwood - Chadstone,483,668,588
Glen Waverley - East,564,738,596
Glen Waverley - West,578,716,618
Mount Waverley - North,397,513,469
Mount Waverley - South,435,571,499
Mulgrave,447,593,511
Oakleigh - Huntingdale,578,776,637
Wheelers Hill,414,543,444
Clayton (North) - Notting Hill,497,916,634
Clayton - Central,550,650,500
Ardeer - Albion,335,487,294
Cairnlea,314,391,333
Delahey,309,450,345
Keilor Downs,437,540,425
Kings Park (Vic.),606,710,559
St Albans - North,809,1 093,893
St Albans - South,711,961,776
Sunshine,368,534,370
Sunshine North,490,629,453
Sunshine West,672,1 001,715
Sydenham,358,538,409
Taylors Lakes,463,574,442
Deer Park,669,875,663
Derrimut,192,272,247
Altona,301,366,286
Altona Meadows,634,763,567
Altona North,357,468,406
Newport,380,467,439
Seabrook,122,205,168
Williamstown,339,411,403
Braybrook,736,1 021,787
Footscray,585,939,691
Maribyrnong,322,480,403
Seddon - Kingsville,230,328,238
West Footscray - Tottenham,402,554,383
Yarraville,323,438,357
Bacchus Marsh,398,594,510
Melton West,438,606,687
Rockbank - Mount Cottrell,45,62,444
Taylors Hill,395,634,631
Burnside,108,188,209
Burnside Heights,170,218,219
Caroline Springs,492,709,666
Brookfield,179,310,306
Cobblebank - Strathtulloh,3,28,254
Eynesbury - Exford,12,60,50
Fraser Rise - Plumpton,14,134,239
Hillside,342,560,478
Kurunjang - Toolern Vale,336,443,386
Melton,310,369,279
Melton South - Weir Views,371,567,664
Hoppers Crossing - North,586,782,640
Hoppers Crossing - South,635,901,718
Laverton,246,434,433
Werribee - South,302,395,487
Point Cook - East,155,436,621
Point Cook - South,195,556,609
Werribee - East,770,932,724
Werribee - West,333,473,733
Manor Lakes - Quandong,117,277,349
Point Cook - North East,352,523,440
Point Cook - North West,198,351,313
Tarneit (West) - Mount Cottrell,4,10,363
Tarneit - Central,473,1 000,998
Tarneit - North,8,3,263
Tarneit - South,216,392,414
Truganina - North,----,----,267
Truganina - South East,61,257,273
Truganina - South West,329,670,652
Wyndham Vale - North,102,194,350
Wyndham Vale - South,335,491,439
Carrum Downs,555,690,553
Frankston,735,879,618
Frankston North,729,773,594
Frankston South,380,461,336
Langwarrin,484,613,478
Seaford (Vic.),518,582,438
Skye - Sandhurst,237,364,299
Dromana,200,246,206
Flinders,65,79,74
Hastings - Somers,520,615,399
Mount Eliza,268,364,305
Mount Martha,269,356,271
Point Nepean,321,372,267
Rosebud - McCrae,449,485,361
Somerville,391,428,284
Mornington - East,320,344,273
Mornington - West,193,200,165
Ararat,138,202,141
Ararat Surrounds,39,51,31
Horsham,295,407,271
Horsham Surrounds,53,60,43
Nhill Region,96,149,110
St Arnaud,78,77,54
Stawell,178,193,147
West Wimmera,42,54,43
Yarriambiack,108,139,74
Irymple,122,153,124
Merbein,151,153,100
Mildura Surrounds,83,88,66
Red Cliffs,157,175,148
Mildura - North,618,760,542
Mildura - South,379,460,386
Buloke,105,109,96
Gannawarra,103,118,83
Kerang,72,101,79
Robinvale,104,83,105
Swan Hill,217,234,161
Swan Hill Surrounds,135,139,94
Echuca,290,328,275
Kyabram,243,252,183
Lockington - Gunbower,67,67,62
Rochester,62,79,53
Rushworth,83,89,65
Cobram,157,151,114
Moira,52,63,47
Numurkah,265,249,211
Yarrawonga,120,162,97
Mooroopna,239,262,201
Shepparton - North,412,553,406
Shepparton Surrounds - East,72,79,50
Shepparton Surrounds - West,231,235,187
Kialla,104,137,139
Shepparton - South East,494,580,456
Glenelg (Vic.),199,191,152
Hamilton (Vic.),206,233,148
Portland,257,341,252
Southern Grampians,105,98,92
Camperdown,52,67,39
Colac,204,245,182
Colac Surrounds,77,82,55
Corangamite - North,84,99,88
Corangamite - South,98,132,70
Otway,75,69,73
Moyne - East,119,126,95
Moyne - West,173,168,107
Warrnambool - North,476,548,353
Warrnambool - South,307,317,210
