property_url,name,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc,post_code,region,matched_region_x,Children enrolled in a preschool or preschool program (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Working age population (aged 15-64 years) (%),matched_region_y,avg_crime_count,region_encoded,property_type_House,property_type_New Apartments / Off the Plan,property_type_New House & Land,property_type_Studio,property_type_Terrace,property_type_Townhouse,property_type_Villa,nearest_station_index,haversine_distance,property_coords,station_coords,nearest_station_name,property_index,route_distance_m,route_duration_s,distance_to_hospital,nearest_hospital_name,distance_to_police_station,nearest_police_station_name,distance_to_fire_station,nearest_fire_station_name,distance_to_university_college,nearest_university_college_name,distance_to_melbourne_central,"distance_to_the_university_of_melbourne,_parkville_campus",distance_to_la_trobe_university_(bundoora_campus),"distance_to_monash_university,_clayton_campus",distance_to_deakin_university_-_burwood_campus,distance_to_shop,nearest_shop_name,kindergarten_count_within_1000m,secondary_primary_school_count_within_3000m,restaurant_bar_count_within_1000m,cinema_theatre_count_within_3000m,shop_count_within_1000m,park_count_within_1000m
https://www.domain.com.au/33a-john-st-clifton-hill-vic-3068-17192382,"33A John St, Clifton Hill VIC 3068",850.0,-37.7879532,144.9959966,3,1,1,"Monday, 14th October 2024",Liam Mulligan,3068,Clifton Hill,Clifton Hill  Alphington,128.0,10973.0,520.9,2600.0,2112500.0,71765.0,500.0,9369.0,71.3,Clifton Hill,97.8,74,0,0,0,0,0,1,0,443,93.42986870572403,"[144.9959966, -37.7879532]","[144.995416701876, -37.788657453155]",Clifton Hill Railway Station (Clifton Hill),11,87.83,15.81,1448.2227132810497,Thomas Embling Hospital,1809.5546990603546,Collingwood Police Station,1813.862658372891,Fire Station No. 13,1332.03761868999,Melbourne Polytechnic (Fairfield Campus),3546.978586055267,3812.1254264622603,9117.329425441838,12012.171480801408,18420.7039270623,285.25310143333235,Continental Supermarket,6,33,26,9,5,29
https://www.domain.com.au/4-16-princes-st-abbotsford-vic-3067-17192365,"4/16 Princes St, Abbotsford VIC 3067",900.0,-37.809329,145.000437,3,2,1,"Friday, 4th October 2024",Preet Sandhu,3067,Abbotsford,Abbotsford,56.0,10008.0,174.1,2167.0,1264000.0,67457.0,425.0,10466.0,82.8,Abbotsford,52.8,0,0,0,0,0,0,1,0,288,657.9046735535469,"[145.000437, -37.809329]","[144.992962325195, -37.8096943003706]",19-North Richmond Railway Station/Victoria St (Abbotsford),12,1116.83,182.97,627.3972042437421,The Melbourne Clinic,851.782617281706,Collingwood Police Station,342.48016388134585,Fire Station No. 10,1641.2820380299136,Melbourne Polytechnic (Collingwood Campus),3283.9684243191555,3672.6754151765736,10594.071639239737,11054.626837219013,16440.810823186508,239.35645433919123,Tân Hung Asian Grocery,1,31,40,19,9,21
https://www.domain.com.au/1-2-rowland-court-glen-waverley-vic-3150-17172671,"1/2 Rowland Court, Glen Waverley VIC 3150",1195.0,-37.8675722,145.1528558,4,4,2,"Thursday, 26th September 2024",Tina Jin,3150,Glen Waverley,Glen Waverley  East,268.0,22429.0,916.5,2600.0,1601000.0,42330.0,500.0,15694.0,61.8,Glen Waverley,96.6,128,0,0,0,0,0,1,0,345,999.791963967641,"[145.1528558, -37.8675722]","[145.149780487779, -37.8762296254939]",Syndal Railway Station (Glen Waverley),13,1870.36,292.36,1820.5145119992962,Peter James Centre,2575.8464331737146,Mount Waverley Police Station,1616.1227199335226,Fire Station No. 28,1084.3223656672078,Huanya Cultural Training Centre,4374.298860290235,5079.140376961265,17841.58089676765,18467.360289867534,18930.02333798311,1320.017813076719,Woolworths,4,27,10,4,0,22
https://www.domain.com.au/3-16-princes-st-abbotsford-vic-3067-17192189,"3/16 Princes St, Abbotsford VIC 3067",900.0,-37.8092864,145.0004441,3,2,2,"Friday, 18th October 2024",Preet Sandhu,3067,Abbotsford,Abbotsford,56.0,10008.0,174.1,2167.0,1264000.0,67457.0,425.0,10466.0,82.8,Abbotsford,52.8,0,0,0,0,0,0,1,0,288,658.8365560571569,"[145.0004441, -37.8092864]","[144.992962325195, -37.8096943003706]",19-North Richmond Railway Station/Victoria St (Abbotsford),14,1121.61,183.54,632.1600349547587,The Melbourne Clinic,849.0091264744832,Collingwood Police Station,347.1780884485407,Fire Station No. 10,1638.9458287883808,Melbourne Polytechnic (Collingwood Campus),3284.74921956978,3672.2238298519605,10595.23963704938,11050.028332092887,16443.628779432205,242.28675471199722,Tân Hung Asian Grocery,1,31,40,19,9,21
https://www.domain.com.au/6-121-chapel-road-moorabbin-vic-3189-17192084,"6/121 Chapel Road, Moorabbin VIC 3189",595.0,-37.9352726,145.0489168,2,2,2,"Monday, 16th September 2024",Stephanie Pascoe,3189,Moorabbin,Moorabbin  Heatherton,159.0,9426.0,1170.0,2300.0,1200000.0,56002.0,440.0,7520.0,64.3,Moorabbin,49.0,184,0,0,0,0,0,1,0,406,1072.9439569652413,"[145.0489168, -37.9352726]","[145.036738286425, -37.9343532865939]",Moorabbin Railway Station (Moorabbin),15,1272.45,203.91,173.9288965809674,Holmesglen Private Hospital,943.9192325073275,Moorabbin Police Complex,1207.7474027772575,Fire Station No. 34,280.4058985506749,Holmesglen TAFE Moorabbin Campus,8096.165879176103,11545.457884311527,15809.227542670147,16769.792790229905,24163.009386033584,883.110620950806,Woolworths,0,20,0,2,1,6
https://www.domain.com.au/7-42-ruskin-street-elwood-vic-3184-17191768,"7/42 Ruskin Street, Elwood VIC 3184",895.0,-37.8768027,144.9819481,2,2,1,"Friday, 13th September 2024",Kerttu  Luik,3184,Elwood,Elwood,153.0,15459.0,255.3,2300.0,2635000.0,70277.0,415.0,16869.0,76.9,Elwood,45.0,105,0,0,0,0,0,1,0,181,1141.968422203038,"[144.9819481, -37.8768027]","[144.994956385037, -37.8765955561275]",Ripponlea Railway Station/Glen Eira Rd (Ripponlea),16,1467.36,267.0,2048.098456556869,Masada Private Hospital,860.8893796885551,VF2 St Kilda Coast Guard,2385.262881363401,Fire Station No. 35,2860.3820177236576,Swinburne University of Technology (Prahran Campus),7580.006059646218,8553.419329913342,12020.78543240349,14056.762347336631,18646.98200205366,874.2947956262586,Acland Court,1,24,23,9,4,13
https://www.domain.com.au/76-tramway-parade-beaumaris-vic-3193-17191747,"76 Tramway Parade, Beaumaris VIC 3193",1240.0,-37.98959869999999,145.0416871,4,2,2,"Wednesday, 23rd October 2024",Kim Britt,3193,Beaumaris,Beaumaris,158.0,14227.0,596.8,3000.0,2005000.0,59622.0,612.0,10741.0,59.6,Beaumaris,65.4,25,0,0,0,0,0,1,0,336,2253.909415069728,"[145.0416871, -37.98959869999999]","[145.065990823813, -37.9829693855521]",Mentone Railway Station (Mentone),17,3179.39,331.92,2704.545254077796,Como Private Hospital,3050.00323954377,Cheltenham Police Station,2725.974873616059,Fire Station No. 33,1492.493719765577,Beaumaris Secondary College,12012.897320638844,17300.83520892191,21098.324738396976,22074.81987372992,30212.489239521437,800.2998913337216,IGA,1,14,6,0,1,7
https://www.domain.com.au/1-31-parkinson-street-mount-waverley-vic-3149-17191686,"1/31 Parkinson Street, Mount Waverley VIC 3149",795.0,-37.896324,145.1077371,3,3,1,Available Now,Alexander Vingos,3149,Mount Waverley,Mount Waverley  North,176.0,16796.0,648.4,2600.0,1637500.0,47156.0,485.0,12389.0,65.2,Mount Waverley,51.0,192,0,0,0,0,0,1,0,385,1700.4699707433967,"[145.1077371, -37.896324]","[145.102364317185, -37.9110173407265]",Huntingdale Railway Station (Oakleigh),18,2903.03,346.18,2747.1087333222013,Sir John Monash Private Hospital,1736.265627620707,Oakleigh Police Station,1163.8387774830028,Fire Station No. 25,1561.0464249458964,Edu Kingdom College,2990.890368952508,5788.337947295539,15901.229690781614,16707.984292750985,20469.53844014329,1503.753594968411,Friendly Cellars,2,16,2,3,0,11
https://www.domain.com.au/20-tibrockney-street-highett-vic-3190-17190750,"20 Tibrockney Street, Highett VIC 3190",650.0,-37.9530253,145.0340354,3,2,1,"Wednesday, 2nd October 2024",Alvin Vitor,3190,Highett,Highett West  Cheltenham,218.0,12764.0,532.0,2500.0,1480000.0,63609.0,450.0,9936.0,65.3,Highett,76.4,141,0,0,0,0,0,1,0,228,772.5114158647868,"[145.0340354, -37.9530253]","[145.040909099797, -37.9486793229447]",Highett Railway Station/Highett Rd (Highett),19,1099.62,149.33,1640.30576187535,Sandringham & District Memorial Hospital,1823.6443150661073,Moorabbin Police Complex,1219.3770584545775,Fire Station No. 34,2266.329257182453,Holmesglen TAFE Moorabbin Campus,10080.450061736594,13905.744814034368,17050.267278936626,18025.077631558677,26174.563311547154,314.78078539308706,ALDI,1,19,2,2,3,16
https://www.domain.com.au/17-king-street-st-kilda-east-vic-3183-17190500,"17 King Street, St Kilda East VIC 3183",830.0,-37.8639957,144.992353,2,2,1,"Tuesday, 1st October 2024",Jack Alexander,3183,St Kilda East,St Kilda East,183.0,16758.0,241.4,2100.0,1527500.0,61274.0,384.0,20044.0,78.8,St Kilda East,113.4,250,0,0,0,0,0,1,0,425,619.1037933721424,"[144.992353, -37.8639957]","[144.993512099452, -37.8694877274508]",Balaclava Railway Station (Balaclava),20,1003.78,188.48,1138.1231110987467,Masada Private Hospital,455.69846463920493,St Kilda Police Station,818.2076518496759,Fire Station No. 35,1298.11912234188,Swinburne University of Technology (Prahran Campus),6502.46172156769,7475.159174500972,10778.245916070526,13664.104061935137,17009.930768214068,419.6186825503188,ALDI,1,31,17,13,3,13
