route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"6-BM3-mjp-1","T2_2","9.T2.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T3_2","9.T3.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UI_2","9.UI.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UL_2","9.UL.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UU_2","9.UU.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM4-mjp-1","T0_2","1.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","1"
"6-BM4-mjp-1","T2_2","1.T2.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","22"
"6-BM4-mjp-1","T3_2","1.T3.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","34"
"6-BM4-mjp-1","UI_2","1.UI.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","46"
"6-BM4-mjp-1","UL_2","1.UL.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","58"
"6-BM4-mjp-1","UU_2","1.UU.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","70"
"6-BM4-mjp-1","T0_2","10.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","10"
"6-BM4-mjp-1","T2_2","10.T2.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","31"
"6-BM4-mjp-1","T3_2","10.T3.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","43"
"6-BM4-mjp-1","UI_2","10.UI.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","55"
"6-BM4-mjp-1","UL_2","10.UL.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","67"
"6-BM4-mjp-1","UU_2","10.UU.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","79"
"6-BM4-mjp-1","T0_2","11.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","11"
"6-BM4-mjp-1","T2_2","11.T2.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","32"
"6-BM4-mjp-1","T3_2","11.T3.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","44"
"6-BM4-mjp-1","UI_2","11.UI.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","56"
"6-BM4-mjp-1","UL_2","11.UL.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","68"
"6-BM4-mjp-1","UU_2","11.UU.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","80"
"6-BM4-mjp-1","T0_2","12.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","12"
"6-BM4-mjp-1","T2_2","12.T2.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","33"
"6-BM4-mjp-1","T3_2","12.T3.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","45"
"6-BM4-mjp-1","UI_2","12.UI.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","57"
"6-BM4-mjp-1","UL_2","12.UL.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","69"
"6-BM4-mjp-1","UU_2","12.UU.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","81"
"6-BM4-mjp-1","T0_2","13.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","13"
"6-BM4-mjp-1","T2_2","13.T2.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","22"
"6-BM4-mjp-1","T3_2","13.T3.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","34"
"6-BM4-mjp-1","UI_2","13.UI.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","46"
"6-BM4-mjp-1","UL_2","13.UL.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","58"
"6-BM4-mjp-1","UU_2","13.UU.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","70"
"6-BM4-mjp-1","T0_2","14.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","14"
"6-BM4-mjp-1","T2_2","14.T2.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","23"
"6-BM4-mjp-1","T3_2","14.T3.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","35"
"6-BM4-mjp-1","UI_2","14.UI.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","47"
"6-BM4-mjp-1","UL_2","14.UL.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","59"
"6-BM4-mjp-1","UU_2","14.UU.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","71"
"6-BM4-mjp-1","T0_2","15.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","15"
"6-BM4-mjp-1","T2_2","15.T2.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","24"
"6-BM4-mjp-1","T3_2","15.T3.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","36"
"6-BM4-mjp-1","UI_2","15.UI.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","48"
"6-BM4-mjp-1","UL_2","15.UL.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","60"
"6-BM4-mjp-1","UU_2","15.UU.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","72"
"6-BM4-mjp-1","T0_2","16.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","16"
"6-BM4-mjp-1","T2_2","16.T2.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","25"
"6-BM4-mjp-1","T3_2","16.T3.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","37"
"6-BM4-mjp-1","UI_2","16.UI.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","49"
"6-BM4-mjp-1","UL_2","16.UL.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","61"
"6-BM4-mjp-1","UU_2","16.UU.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","73"
"6-BM4-mjp-1","T0_2","17.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","17"
"6-BM4-mjp-1","T2_2","17.T2.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","26"
"6-BM4-mjp-1","T3_2","17.T3.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","38"
"6-BM4-mjp-1","UI_2","17.UI.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","50"
"6-BM4-mjp-1","UL_2","17.UL.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","62"
"6-BM4-mjp-1","UU_2","17.UU.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","74"
"6-BM4-mjp-1","T0_2","18.T0.6-BM4-mjp-1.1.H","6-BM4-mjp-1.1.H","Bacchus Marsh Station","0","18"
"6-BM4-mjp-1","T2_2","18.T2.6-BM4-mjp-1.2.R","6-BM4-mjp-1.2.R","Telford Park","1","27"
