route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-ECH-mjp-9","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-GEL-mjp-1","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-10","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-11","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-2","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-3","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-4","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-5","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-6","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-7","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-8","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GEL-mjp-9","","","Geelong - Melbourne Via Geelong","3","A57FB2","FFFFFF"
"5-GVL-mjp-2","","","Geelong - Apollo Bay Via Lorne, Torquay","3","A57FB2","FFFFFF"
"5-mtb-mjp-1","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-10","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-11","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-2","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-3","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-4","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-5","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-6","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-7","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-8","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-mtb-mjp-9","","","Melbourne - Mount Beauty Via Bright","3","A57FB2","FFFFFF"
"5-pay-mjp-1","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-2","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-3","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-4","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-5","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-6","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-7","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-8","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-pay-mjp-9","","","Melbourne - Paynesville Via Bairnsdale","3","A57FB2","FFFFFF"
"5-SER-mjp-10","","","Melbourne - Seymour Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SER-mjp-11","","","Melbourne - Seymour Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SER-mjp-2","","","Melbourne Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SER-mjp-3","","","Melbourne - Seymour Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SER-mjp-4","","","Melbourne - Seymour Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SER-mjp-6","","","Melbourne - Seymour Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SER-mjp-7","","","Melbourne - Seymour Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SER-mjp-9","","","Melbourne - Seymour Via Broadmeadows","3","A57FB2","FFFFFF"
"5-SWL-mjp-1","","","Melbourne Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-2","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-3","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-4","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-5","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-6","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-7","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-8","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
"5-SWL-mjp-9","","","Melbourne - Swan Hill Via Bendigo","3","A57FB2","FFFFFF"
